X1,X2,X3,Year
left,left,jj_nn1@,1990
blue,blue,jj,1990
role,role,nn1,1990
contract,contract,nn1,1990
value,value,nn1_vv0%,1990
turn,turn,nn1,1990
past,past,nn1,1990
past,past,nn1,1990
team,team,nn1,1990
left,left,jj,1990
hard,hard,rr_jj,1990
owner,owner,nn1,1990
do,do,vd0,1990
statement,statement,nn1,1990
find,find,vvi,1990
left,left,jj_nn1@,1990
contract,contract,nn1,1990
back,back,rp,1990
back,back,nn1,1990
prove,prove,vvi,1990
big,big,jj,1990
do,do,vdi,1990
prove,prove,vvi,1990
do,do,vd0,1990
kind,kind,nn1,1990
production,production,nn1,1990
left,left,jj,1990
do,do,vdi,1990
say,say,vv0,1990
owner,owner,nn1,1990
matter,matter,ddqv32,1990
matter,matter,nn1,1990
strain,strain,nn1,1990
strength,strength,nn1,1990
do,do,vd0,1990
interrupt,interrupt,vvi,1990
back,back,rp,1990
career,career,nn1,1990
big,big,jj,1990
approach,approach,vv0@,1990
confidence,confidence,nn1,1990
feel,feel,vv0,1990
welcome,welcome,vv0_nn1,1990
empty,empty,jj,1990
addition,addition,ii32,1990
past,past,nn1,1990
answer,answer,nn1,1990
finish,finish,vvi,1990
struggle,struggle,nn1,1990
closer,closer,jjr_rrr,1990
team,team,nn1,1990
team,team,nn1,1990
march,march,npm1,1990
turn,turn,vvi,1990
empty,empty,jj,1990
feel,feel,vv0,1990
team,team,nn1,1990
three,three,mc,1990
three,three,mc,1990
say,say,vvi,1990
job,job,nn1,1990
career,career,nn1,1990
high,high,jj,1990
school,school,nn1,1990
school,school,nn1,1990
paper,paper,nn1,1990
school,school,nn1,1990
school,school,nn1,1990
change,change,vv0_nn1,1990
school,school,nn1,1990
close,close,jj,1990
work,work,nn1,1990
close,close,jj,1990
work,work,nn1,1990
east,east,nd1,1990
west,west,nd1,1990
situation,situation,nn1,1990
president,president,nn1,1990
deafening,deafening,jj_vvg@,1990
democracy,democracy,nn1,1990
big,big,jj,1990
president,president,nn1,1990
answer,answer,nn1,1990
question,question,nn1,1990
deal,deal,rr33_nn1,1990
administration,administration,nn1,1990
president,president,nn1,1990
find,find,vv0,1990
hot,hot,jj,1990
administration,administration,nn1,1990
administration,administration,nn1,1990
approach,approach,nn1,1990
clear,clear,jj,1990
clear,clear,jj,1990
matter,matter,nn1,1990
democracy,democracy,nn1,1990
short,short,jj_rr@,1990
moment,moment,nn1,1990
high,high,jj,1990
administration,administration,nn1,1990
want,want,vv0,1990
plan,plan,vv0,1990
win,win,vvi,1990
majority,majority,nn1,1990
hold,hold,vv0,1990
advantage,advantage,nn1,1990
death,death,nn1,1990
under,under,rg@_ii,1990
heavy,heavy,jj,1990
give,give,vv0,1990
president,president,nnb,1990
job,job,nn1,1990
white,white,np1,1990
white,white,np1,1990
three,three,mc,1990
beginning,begin,vvg_nn1,1990
fact,fact,nn1,1990
down,down,rp,1990
success,success,nn1,1990
kind,kind,nn1,1990
past,past,nn1,1990
instance,instance,rex22,1990
strong,strong,jj,1990
down,down,rp,1990
present,present,vvi,1990
strong,strong,jj,1990
stay,stay,vv0_nn1@,1990
view,view,nn1,1990
quick,quick,jj_rr@,1990
march,march,np1@,1990
march,march,np1@,1990
second,second,md_nnt1,1990
march,march,np1@_nn1%_npm1,1990
little,little,jj,1990
keep,keep,vvi,1990
clean,clean,vv0@_jj,1990
waste,waste,nn1,1990
writing,writing,nn1,1990
sweet,sweet,jj_nn1@,1990
left,leave,vvd,1990
life,life,nn1,1990
gold,gold,nn1,1990
kind,kind,rr21%_nn1,1990
open,open,vvi,1990
strong,strong,jj_rr%,1990
academy,academy,nn1,1990
march,march,npm1,1990
amount,amount,nn1,1990
east,east,nd1,1990
success,success,nn1,1990
do,do,vd0,1990
cast,cast,vvn_vv0,1990
review,review,nn1,1990
miss,miss,nnb,1990
role,role,nn1,1990
back,back,rp,1990
east,east,nd1,1990
travel,travel,vvi,1990
health,health,nn1,1990
three,three,mc,1990
sharp,sharp,jj,1990
rise,rise,nn1,1990
health,health,nn1,1990
economy,economy,nn1,1990
department,department,nn1,1990
wage,wage,nn1,1990
health,health,nn1,1990
health,health,nn1,1990
effect,effect,nn1,1990
reduction,reduction,nn1,1990
work,work,vvi,1990
health,health,nn1,1990
department,department,nn1,1990
estimate,estimate,nn1,1990
present,present,jj_nn1,1990
department,department,nn1,1990
health,health,nn1,1990
health,health,nn1,1990
big,big,jj,1990
health,health,nn1,1990
cost,cost,vv0_vvd@,1990
health,health,nn1,1990
increase,increase,vvi,1990
administration,administration,nn1,1990
health,health,nn1,1990
life,life,nn1,1990
health,health,nn1,1990
business,business,nn1,1990
center,center,nn1,1990
huge,huge,jj,1990
money,money,nn1,1990
business,business,nn1,1990
problem,problem,nn1,1990
health,health,nn1,1990
health,health,nn1,1990
large,large,jj,1990
income,income,nn1,1990
department,department,nn1,1990
school,school,nn1,1990
welfare,welfare,nn1,1990
matter,matter,nn1,1990
consequence,consequence,nn1,1990
little,little,da1_jj_rr,1990
hold,hold,vvi,1990
back,back,rp,1990
rise,rise,nn1,1990
fact,fact,nn1,1990
close,close,jj,1990
competition,competition,nn1,1990
competition,competition,nn1,1990
do,do,vd0,1990
increase,increase,nn1,1990
do,do,vd0,1990
increase,increase,nn1,1990
health,health,nn1,1990
health,health,nn1,1990
say,say,vv0,1990
knowledge,knowledge,nn1,1990
hold,hold,vvi,1990
down,down,rp,1990
amount,amount,nn1,1990
say,say,vv0,1990
problem,problem,nn1,1990
call,call,vv0,1990
say,say,vv0,1990
say,say,vv0,1990
quality,quality,nn1,1990
file,file,vvi,1990
doctor,doctor,nn1,1990
do,do,vdi,1990
deal,deal,vvi,1990
health,health,nn1,1990
clear,clear,jj,1990
deal,deal,vvi,1990
clear,clear,jj,1990
keep,keep,vvi,1990
health,health,nn1,1990
health,health,nn1,1990
health,health,nn1,1990
department,department,nn1,1990
health,health,nn1,1990
health,health,nn1,1990
economy,economy,nn1,1990
instance,instance,rex22,1990
increase,increase,nn1_vv0,1990
income,income,nn1,1990
doctor,doctor,nn1,1990
bank,bank,nn1,1990
bank,bank,nn1_vv0@,1990
business,business,nn1,1990
back,back,nn1_rp,1990
solid,solid,jj,1990
bank,bank,nn1,1990
crisis,crisis,nn1,1990
management,management,nn1,1990
bank,bank,nn1,1990
condition,condition,nn1,1990
bank,bank,nn1,1990
strong,strong,jj,1990
bank,bank,nn1,1990
bank,bank,nn1,1990
complain,complain,vv0,1990
say,say,vv0,1990
effect,effect,nn1,1990
area,area,nn1,1990
management,management,nn1,1990
bank,bank,nn1,1990
second,second,md,1990
estate,estate,nn1,1990
long,long,cs32,1990
bank,bank,nn1,1990
bank,bank,nn1,1990
left,leave,vvn,1990
bank,bank,nn1,1990
president,president,nn1,1990
bank,bank,nn1,1990
bank,bank,nn1,1990
broad,broad,jj,1990
bank,bank,nn1,1990
cash,cash,nn1,1990
bank,bank,nn1,1990
bank,bank,nn1,1990
deep,deep,jj,1990
estate,estate,nn1,1990
area,area,nn1,1990
bank,bank,nn1,1990
bank,bank,nn1,1990
say,say,vv0,1990
bank,bank,nn1,1990
president,president,nn1,1990
sit,sit,vvi,1990
down,down,rp,1990
short,short,jj,1990
bank,bank,nn1,1990
giant,giant,nn1_jj,1990
bank,bank,nn1,1990
dry,dry,jj,1990
left,left,jj_vvd,1990
estate,estate,nn1,1990
fact,fact,nn1,1990
small,small,jj,1990
bank,bank,nn1_np1@,1990
trust,trust,vv0_nn1,1990
bank,bank,nn1,1990
bank,bank,nn1,1990
dust,dust,nn1,1990
estate,estate,nn1,1990
high,high,jj,1990
big,big,jj,1990
bank,bank,nn1,1990
estate,estate,nn1,1990
borrow,borrow,vv0,1990
long,long,cs32,1990
bank,bank,nn1,1990
estate,estate,nn1,1990
problem,problem,nn1,1990
quality,quality,nn1,1990
competition,competition,nn1,1990
public,public,nn1_jj_rr@,1990
little,little,da1,1990
talent,talent,nn1,1990
money,money,nn1,1990
quality,quality,nn1,1990
down,down,rp,1990
pressure,pressure,nn1,1990
high,high,jj,1990
do,do,vdi,1990
bank,bank,nn1,1990
left,leave,vvd_jj,1990
bank,bank,nn1,1990
rise,rise,vvi,1990
close,close,rr_jj,1990
bank,bank,nn1,1990
money,money,nn1,1990
window,window,nn1,1990
review,review,nn1_vv0,1990
back,back,rp,1990
vice,vice,jj_nn1,1990
president,president,nn1,1990
firm,firm,nn1,1990
bank,bank,nn1,1990
business,business,nn1,1990
want,want,vvi,1990
bank,bank,nn1,1990
tough,tough,jj,1990
bank,bank,nn1,1990
estate,estate,nn1,1990
bank,bank,nn1,1990
picture,picture,nn1,1990
exchange,exchange,nn1,1990
bank,bank,nn1,1990
say,say,vv0,1990
bank,bank,nn1,1990
estate,estate,nn1,1990
bank,bank,nn1,1990
meeting,meeting,nn1_vvg,1990
bank,bank,nn1,1990
meeting,meeting,nn1,1990
situation,situation,nn1,1990
bank,bank,nn1,1990
question,question,nn1,1990
say,say,vvi,1990
president,president,nn1,1990
firm,firm,nn1,1990
three,three,mc,1990
bank,bank,nn1,1990
down,down,rp,1990
hard,hard,rr_jj,1990
bear,bear,vvi,1990
bank,bank,nn1,1990
bank,bank,nn1,1990
find,find,vv0,1990
big,big,jj,1990
bank,bank,nn1,1990
bank,bank,nn1,1990
city,city,nn1,1990
big,big,jj,1990
low,low,rr@_jj,1990
bank,bank,nn1,1990
money,money,nn1,1990
cause,cause,vvi,1990
tax,tax,nn1,1990
bank,bank,nn1,1990
down,down,rp_ii@,1990
shock,shock,nn1,1990
job,job,nn1,1990
bank,bank,nn1_vv0%,1990
vice,vice,jj_nn1,1990
president,president,nn1,1990
high,high,jj,1990
role,role,nn1,1990
public,public,nn1,1990
close,close,vv0,1990
public,public,nn1_jj,1990
high,high,jj,1990
open,open,jj,1990
harm,harm,nn1_vv0,1990
cause,cause,vvi,1990
public,public,nn1,1990
open,open,vv0@_jj,1990
public,public,nn1_jj,1990
open,open,vvi,1990
public,public,jj_nn1,1990
public,public,jj_nn1,1990
public,public,jj_nn1,1990
open,open,vvi,1990
do,do,vd0,1990
business,business,nn1,1990
public,public,nn1,1990
money,money,nn1,1990
public,public,jj_nn1,1990
public,public,jj_nn1,1990
review,review,vvi,1990
public,public,jj_nn1,1990
tax,tax,nn1,1990
money,money,nn1,1990
site,site,nn1,1990
meeting,meeting,nn1,1990
information,information,nn1,1990
information,information,nn1,1990
president,president,nn1,1990
work,work,nn1,1990
stay,stay,vvi,1990
information,information,nn1,1990
personnel,personnel,nn2,1990
public,public,jj_nn1,1990
help,help,vvi,1990
empty,empty,jj,1990
black,black,jj,1990
picture,picture,nn1,1990
information,information,nn1,1990
device,device,nn1,1990
information,information,nn1,1990
dispute,dispute,nn1,1990
student,student,nn1,1990
student,student,nn1,1990
department,department,nn1,1990
city,city,nn1,1990
writing,write,vvg,1990
back,back,rp,1990
city,city,nn1,1990
tax,tax,nn1,1990
close,close,vvi,1990
do,do,vd0,1990
money,money,nn1,1990
afford,afford,vvi,1990
afford,afford,vvi,1990
deal,deal,vvi,1990
public,public,jj,1990
paper,paper,nn1,1990
paper,paper,nn1,1990
paper,paper,nn1,1990
city,city,nn1,1990
public,public,jj,1990
paper,paper,nn1,1990
trial,trial,nn1,1990
city,city,nn1,1990
say,say,vvi,1990
deal,deal,nn1,1990
city,city,nn1,1990
kind,kind,nn1_jj@,1990
hot,hot,jj,1990
city,city,nn1,1990
paint,paint,vvi,1990
view,view,nn1,1990
fact,fact,nn1,1990
majority,majority,nn1,1990
city,city,nn1,1990
city,city,nn1,1990
three,three,mc,1990
president,president,nn1,1990
black,black,jj_np1@_nn1@,1990
president,president,nn1,1990
black,black,jj,1990
do,do,vdi,1990
site,site,nn1,1990
black,black,jj,1990
meeting,meeting,nn1,1990
meeting,meeting,nn1,1990
clear,clear,jj,1990
black,black,jj_nn1@,1990
paper,paper,nn1,1990
rock,rock,nn1_vv0@,1990
keep,keep,vvi,1990
information,information,nn1,1990
rock,rock,np1,1990
clean,clean,jj,1990
air,air,nn1,1990
rock,rock,np1,1990
broad,broad,jj,1990
information,information,nn1,1990
public,public,nn1,1990
department,department,nn1,1990
health,health,nn1,1990
appeal,appeal,nn1,1990
prohibit,prohibit,vvi,1990
waste,waste,nn1_jj@,1990
rock,rock,np1,1990
release,release,nn1,1990
turn,turn,nn1_vv0,1990
three,three,mc,1990
matter,matter,nn1,1990
information,information,nn1,1990
site,site,nn1,1990
information,information,nn1,1990
crime,crime,nn1,1990
city,city,nn1,1990
department,department,nn1,1990
city,city,nn1,1990
department,department,nn1,1990
change,change,vv0,1990
cause,cause,vvi,1990
harm,harm,nn1,1990
city,city,nn1,1990
public,public,nn1_jj,1990
influence,influence,nn1,1990
publish,publish,vvi,1990
publish,publish,vvi,1990
past,past,ii,1990
paper,paper,nn1,1990
school,school,nn1,1990
paper,paper,nn1_vv0%,1990
president,president,nnb,1990
say,say,vv0,1990
vice,vice,ii_nn1_jj,1990
president,president,nn1,1990
sound,sound,nn1_jj@,1990
three,three,mc,1990
picture,picture,nn1,1990
do,do,vd0,1990
distribute,distribute,vv0,1990
lead,lead,vvi,1990
vice,vice,jj_nn1,1990
president,president,nn1,1990
role,role,nn1,1990
look,look,nn1,1990
work,work,nn1,1990
trial,trial,nn1,1990
plan,plan,nn1,1990
public,public,nn1,1990
public,public,jj_nn1,1990
public,public,nn1_jj,1990
public,public,jj,1990
say,say,vv0,1990
left,leave,vvd_vvn_jj,1990
high,high,jj,1990
business,business,nn1,1990
business,business,nn1,1990
area,area,nn1,1990
vice,vice,jj,1990
president,president,nn1,1990
air,air,nn1,1990
find,find,vvi,1990
business,business,nn1,1990
air,air,nn1,1990
business,business,nn1,1990
three,three,mc,1990
business,business,nn1,1990
business,business,nn1,1990
travel,travel,vv0_nn1,1990
business,business,nn1,1990
level,level,nn1,1990
education,education,nn1,1990
level,level,nn1,1990
fact,fact,nn1,1990
area,area,nn1,1990
area,area,nn1,1990
music,music,nn1,1990
personnel,personnel,nn2,1990
east,east,nd1,1990
air,air,nn1,1990
personnel,personnel,nn2,1990
air,air,np1,1990
base,base,nn1,1990
help,help,vvi,1990
air,air,nn1,1990
give,give,vv0,1990
clear,clear,jj,1990
question,question,vvi,1990
keep,keep,vvi,1990
kind,kind,nn1,1990
process,process,nn1,1990
process,process,nn1,1990
department,department,nn1,1990
opening,open,vvg_nn1_jj@,1990
say,say,vv0,1990
say,say,vvi,1990
do,do,vdi,1990
prove,prove,vvi,1990
god,god,nn1@_np1,1990
keep,keep,vv0,1990
kingdom,kingdom,nn1,1990
heaven,heaven,nn1,1990
form,form,nn1_vv0,1990
night,night,nnt1,1990
three,three,mc,1990
three,three,mc,1990
search,search,nn1,1990
trial,trial,nn1,1990
personnel,personnel,nn2,1990
vice,vice,jj_ii_nn1,1990
president,president,nn1,1990
vice,vice,ii_jj,1990
president,president,nn1,1990
management,management,nn1,1990
paper,paper,nn1,1990
left,leave,vvd,1990
beginning,beginning,nn1,1990
vice,vice,ii_jj_nn1,1990
president,president,nn1,1990
orderly,orderly,jj,1990
promotion,promotion,nn1,1990
orange,orange,jj_nn1,1990
management,management,nn1,1990
department,department,nn1,1990
public,public,jj_nn1,1990
job,job,nn1,1990
orange,orange,jj_nn1,1990
city,city,nn1,1990
big,big,jj,1990
night,night,nnt1,1990
city,city,nn1,1990
paper,paper,nn1,1990
prize,prize,nn1,1990
public,public,jj_nn1,1990
investigation,investigation,nn1,1990
back,back,nn1,1990
white,white,np1_jj,1990
school,school,nn1,1990
mass,mass,jj_nn1,1990
under,under,ii,1990
business,business,nn1,1990
city,city,nn1,1990
business,business,nn1,1990
publish,publish,vv0,1990
owner,owner,nn1,1990
long,long,jj,1990
death,death,nn1,1990
career,career,nn1,1990
factory,factory,nn1,1990
type,type,nn1,1990
night,night,nnt1,1990
paper,paper,nn1,1990
left,leave,vvd,1990
three,three,mc,1990
farm,farm,nn1,1990
public,public,jj_nn1,1990
competition,competition,nn1,1990
city,city,nn1,1990
bear,bear,nn1_vv0,1990
investigation,investigation,nn1,1990
rock,rock,nn1,1990
public,public,jj_nn1,1990
city,city,nn1,1990
large,large,jj,1990
area,area,nn1,1990
west,west,nd1,1990
safety,safety,nn1,1990
area,area,nn1,1990
city,city,nn1,1990
investigation,investigation,nn1,1990
failure,failure,nn1,1990
area,area,nn1,1990
school,school,nn1,1990
city,city,nn1,1990
dream,dream,vv0_nn1,1990
health,health,nn1,1990
trust,trust,nn1_vv0,1990
account,account,nn1,1990
keep,keep,vvi,1990
center,center,nn1,1990
investigation,investigation,nn1,1990
spite,spite,ii32,1990
city,city,nn1,1990
public,public,jj_nn1,1990
failure,failure,nn1,1990
property,property,nn1,1990
school,school,nn1,1990
broad,broad,jj,1990
crisis,crisis,nn1,1990
tax,tax,nn1,1990
business,business,nn1,1990
vivid,vivid,jj,1990
writing,writing,nn1,1990
public,public,jj_nn1,1990
information,information,nn1,1990
food,food,nn1,1990
chain,chain,nn1,1990
orange,orange,nn1,1990
baby,baby,nn1,1990
food,food,nn1,1990
review,review,nn1,1990
public,public,nn1_jj_rr@,1990
department,department,nn1,1990
information,information,nn1,1990
competition,competition,nn1,1990
information,information,nn1,1990
investigation,investigation,nn1,1990
money,money,nn1,1990
failure,failure,nn1,1990
background,background,nn1,1990
open,open,vvi,1990
quality,quality,nn1,1990
writing,writing,nn1_vvg,1990
cash,cash,nn1,1990
prize,prize,nn1,1990
public,public,jj,1990
pungent,pungent,jj,1990
prize,prize,nn1,1990
quality,quality,nn1,1990
writing,writing,nn1_vvg,1990
council,council,nn1,1990
quantity,quantity,nn1,1990
quality,quality,nn1,1990
approach,approach,nn1,1990
city,city,nn1,1990
search,search,nn1,1990
council,council,nn1,1990
business,business,nn1,1990
receive,receive,vvi,1990
prize,prize,nn1,1990
vice,vice,jj_ii,1990
president,president,nn1,1990
win,win,vv0_nn1@,1990
crisis,crisis,nn1,1990
background,background,nn1,1990
education,education,nn1,1990
success,success,nn1,1990
night,night,nnt1,1990
search,search,nn1,1990
public,public,jj_nn1,1990
work,work,nn1,1990
dark,dark,jj_nn1,1990
writing,writing,nn1_vvg,1990
writing,writing,nn1,1990
student,student,nn1,1990
feature,feature,nn1,1990
independence,independence,nn1,1990
job,job,nn1,1990
do,do,vd0,1990
want,want,vvi,1990
device,device,nn1,1990
sound,sound,nn1_jj@,1990
help,help,vvi,1990
sound,sound,nn1,1990
blue,blue,jj,1990
box,box,nn1,1990
small,small,jj,1990
colorful,colorful,jj,1990
down,down,rp_ii@,1990
mouth,mouth,nn1,1990
sound,sound,nn1,1990
tiny,tiny,jj,1990
food,food,nn1,1990
administration,administration,nn1,1990
device,device,nn1,1990
help,help,nn1,1990
crying,cry,vvg_nn1,1990
back,back,rp,1990
hour,hour,nnt1,1990
work,work,vv0,1990
device,device,nn1,1990
receive,receive,vvi,1990
volume,volume,nn1,1990
volume,volume,nn1,1990
variety,variety,nn1,1990
light,light,vvi,1990
theory,theory,nn1,1990
theory,theory,nn1,1990
govern,govern,vv0,1990
under,under,ii,1990
review,review,nn1,1990
long,long,rr,1990
light,light,nn1_jj,1990
strong,strong,jj,1990
weak,weak,jj,1990
base,base,nn1,1990
square,square,nn1,1990
distance,distance,nn1,1990
extend,extend,vv0,1990
down,down,rp,1990
site,site,nn1,1990
strength,strength,nn1,1990
rock,rock,nn1,1990
problem,problem,nn1,1990
air,air,nn1,1990
air,air,nn1,1990
effect,effect,nn1,1990
spirit,spirit,np1,1990
high,high,jj_rr@,1990
low,low,jj,1990
white,white,np1,1990
theory,theory,nn1,1990
huge,huge,jj,1990
change,change,nn1,1990
theory,theory,nn1,1990
cause,cause,vvi,1990
effect,effect,nn1,1990
hot,hot,jj,1990
theory,theory,nn1,1990
administration,administration,nn1,1990
cause,cause,vvi,1990
mass,mass,jj_nn1,1990
amount,amount,nn1,1990
soft,soft,jj,1990
work,work,nn1,1990
food,food,nn1,1990
taste,taste,nn1_vv0@,1990
food,food,nn1,1990
form,form,nn1,1990
want,want,vv0,1990
fresh,fresh,jj,1990
food,food,nn1,1990
wait,wait,vvi,1990
taste,taste,vvi,1990
food,food,nn1,1990
palatable,palatable,jj,1990
core,core,nn1,1990
matter,matter,ddqv32,1990
food,food,nn1,1990
do,do,vd0,1990
light,light,jj_nn1_vv0@,1990
