Word,Register,n,Year
harmony,news,22,1970.0
harmony,nf,52,1970.0
harsh,fic,122,1970.0
harsh,mag,72,1970.0
harsh,news,45,1970.0
harsh,nf,18,1970.0
hat,fic,519,1970.0
hat,mag,195,1970.0
hat,news,29,1970.0
hat,nf,18,1970.0
hate,fic,452,1970.0
hate,mag,104,1970.0
hate,news,27,1970.0
hate,nf,21,1970.0
hazy,fic,29,1970.0
hazy,mag,5,1970.0
hazy,news,3,1970.0
heal,fic,34,1970.0
heal,mag,27,1970.0
heal,news,4,1970.0
health,fic,194,1970.0
health,mag,684,1970.0
health,news,726,1970.0
health,nf,301,1970.0
heaven,fic,246,1970.0
