Word,Lemma,POS,Year,Register
green,green,jj,1970,fic
shade,shade,nn1,1970,fic
white,white,jj_nn1@,1970,fic
reflection,reflection,nn1,1970,fic
fluorescent,fluorescent,jj,1970,fic
glance,glance,vvi,1970,fic
shade,shade,nn1,1970,fic
white,white,jj,1970,fic
soft,soft,jj,1970,fic
gray,gray,jj,1970,fic
gray,gray,nn1@_jj,1970,fic
see,see,vvi,1970,fic
look,look,vv0,1970,fic
eye,eye,nn1,1970,fic
hum,hum,nn1_vv0,1970,fic
sharp,sharp,jj,1970,fic
touch,touch,nn1,1970,fic
hear,hear,vvi,1970,fic
voice,voice,nn1,1970,fic
noisy,noisy,jj,1970,fic
thud,thud,nn1,1970,fic
yellow,yellow,jj,1970,fic
blue,blue,jj,1970,fic
sight,sight,nn1,1970,fic
sound,sound,nn1,1970,fic
sharp,sharp,jj,1970,fic
see,see,vvi,1970,fic
see,see,vvi,1970,fic
colored,color,jj@,1970,fic
see,see,vvi,1970,fic
moonlight,moonlight,nn1,1970,fic
voice,voice,nn1,1970,fic
see,see,vvi,1970,fic
listen,listen,vv0,1970,fic
white,white,jj,1970,fic
amber,amber,jj_nn1,1970,fic
voice,voice,nn1,1970,fic
eye,eye,nn1,1970,fic
look,look,nn1,1970,fic
talk,talk,vv0,1970,fic
see,see,vv0,1970,fic
listen,listen,vv0,1970,fic
touch,touch,nn1,1970,fic
talk,talk,nn1,1970,fic
voice,voice,nn1,1970,fic
black,black,jj,1970,fic
see,see,vvi,1970,fic
look,look,vv0,1970,fic
bang,bang,nn1@,1970,fic
look,look,vvi,1970,fic
gray,gray,jj,1970,fic
look,look,nn1,1970,fic
soft,soft,jj,1970,fic
hot,hot,jj,1970,fic
see,see,vvi,1970,fic
see,see,vvi,1970,fic
talk,talk,vvi,1970,fic
talk,talk,vvi,1970,fic
talk,talk,vvi,1970,fic
see,see,vvi,1970,fic
see,see,vvi,1970,fic
listen,listen,vv0,1970,fic
see,see,vvi,1970,fic
sound,sound,vv0@,1970,fic
noise,noise,nn1,1970,fic
look,look,vv0,1970,fic
talk,talk,vvi,1970,fic
see,see,vvi,1970,fic
white,white,jj,1970,fic
dark,dark,jj_nn1,1970,fic
black,black,jj,1970,fic
look,look,vvi,1970,fic
colored,color,jj@,1970,fic
sound,sound,vv0@,1970,fic
talk,talk,vvi,1970,fic
blue,blue,jj,1970,fic
white,white,jj_nn1@,1970,fic
dim,dim,jj,1970,fic
orange,orange,jj_nn1,1970,fic
crackling,crackle,vvg,1970,fic
look,look,vvi,1970,fic
black,black,jj,1970,fic
see,see,vvi,1970,fic
look,look,vvi,1970,fic
cold,cold,jj_nn1,1970,fic
hear,hear,vvi,1970,fic
white,white,jj,1970,fic
silent,silent,jj,1970,fic
see,see,vvi,1970,fic
odor,odor,nn1,1970,fic
smell,smell,nn1,1970,fic
sweet,sweet,jj,1970,fic
warm,warm,jj,1970,fic
speak,speak,vvi,1970,fic
silent,silent,jj,1970,fic
echo,echo,nn1,1970,fic
spongy,spongy,jj,1970,fic
hot,hot,jj,1970,fic
perfume,perfume,nn1,1970,fic
silent,silent,jj,1970,fic
gray,gray,jj,1970,fic
music,music,nn1,1970,fic
talk,talk,vvi,1970,fic
voice,voice,nn1,1970,fic
black,black,jj,1970,fic
talk,talk,vvi,1970,fic
heat,heat,nn1,1970,fic
see,see,vvi,1970,fic
nebulous,nebulous,jj,1970,fic
voice,voice,nn1,1970,fic
talk,talk,vvi,1970,fic
touch,touch,nn1,1970,fic
see,see,vvi,1970,fic
warmth,warmth,nn1,1970,fic
cold,cold,jj,1970,fic
taste,taste,nn1,1970,fic
talk,talk,nn1_vv0,1970,fic
voice,voice,nn1,1970,fic
see,see,vvi,1970,fic
speak,speak,vvi,1970,fic
dry,dry,jj,1970,fic
voice,voice,nn1,1970,fic
voice,voice,nn1,1970,fic
glance,glance,nn1,1970,fic
sound,sound,nn1,1970,fic
voice,voice,nn1,1970,fic
voice,voice,nn1,1970,fic
hear,hear,vvi,1970,fic
pale,pale,jj,1970,fic
smell,smell,nn1,1970,fic
speak,speak,vvi,1970,fic
silent,silent,jj,1970,fic
warmth,warmth,nn1,1970,fic
voice,voice,nn1,1970,fic
bitterness,bitterness,nn1,1970,fic
voice,voice,nn1,1970,fic
look,look,vv0,1970,fic
talk,talk,vvi,1970,fic
look,look,nn1,1970,fic
look,look,nn1,1970,fic
see,see,vvi,1970,fic
touch,touch,vvi,1970,fic
voice,voice,vvi,1970,fic
look,look,nn1,1970,fic
see,see,vvi,1970,fic
warm,warm,jj,1970,fic
glance,glance,nn1,1970,fic
green,green,jj_nn1,1970,fic
black,black,jj,1970,fic
gray,gray,jj,1970,fic
clammy,clammy,jj,1970,fic
green,green,jj_nn1,1970,fic
sound,sound,nn1,1970,fic
shout,shout,vvi,1970,fic
talk,talk,vv0,1970,fic
see,see,vvi,1970,fic
odor,odor,nn1,1970,fic
black,black,jj,1970,fic
look,look,vv0,1970,fic
see,see,vv0,1970,fic
dull,dull,jj,1970,fic
dull,dull,jj,1970,fic
hear,hear,vvi,1970,fic
touch,touch,vvi,1970,fic
look,look,vv0,1970,fic
look,look,vv0,1970,fic
look,look,vvi,1970,fic
bitter,bitter,jj,1970,fic
sound,sound,vv0@,1970,fic
watch,watch,vvi,1970,fic
appetizing,appetizing,jj,1970,fic
see,see,vv0,1970,fic
see,see,vvi,1970,fic
picture,picture,nn1,1970,fic
orange,orange,nn1_jj,1970,fic
color,color,nn1,1970,fic
hear,hear,vvi,1970,fic
shout,shout,vvi,1970,fic
voice,voice,nn1,1970,fic
harshness,harshness,nn1,1970,fic
pale,pale,jj,1970,fic
glance,glance,nn1,1970,fic
black,black,jj,1970,fic
white,white,jj,1970,fic
see,see,vvi,1970,fic
voice,voice,nn1,1970,fic
see,see,vvi,1970,fic
silent,silent,jj,1970,fic
voice,voice,nn1,1970,fic
dry,dry,vvi,1970,fic
soft,soft,jj,1970,fic
gray,gray,jj,1970,fic
touch,touch,nn1,1970,fic
white,white,jj,1970,fic
watch,watch,nn1,1970,fic
see,see,vvi,1970,fic
ring,ring,vvi,1970,fic
brown,brown,jj_nn1@,1970,fic
voice,voice,nn1,1970,fic
sharp,sharp,jj,1970,fic
see,see,vvi,1970,fic
cold,cold,rr%_jj_nn1,1970,fic
black,black,jj,1970,fic
black,black,jj,1970,fic
stroke,stroke,nn1,1970,fic
brown,brown,jj,1970,fic
see,see,vv0,1970,fic
black,black,jj,1970,fic
smell,smell,nn1_vv0,1970,fic
voice,voice,nn1,1970,fic
loud,loud,jj,1970,fic
buzz,buzz,fu,1970,fic
yellow,yellow,jj,1970,fic
dark,dark,jj_nn1,1970,fic
sound,sound,nn1,1970,fic
see,see,vv0,1970,fic
red,red,jj,1970,fic
smell,smell,vvi,1970,fic
look,look,vv0,1970,fic
see,see,vv0,1970,fic
see,see,vv0,1970,fic
look,look,vvi,1970,fic
look,look,vvi,1970,fic
sunny,sunny,jj,1970,fic
sunlight,sunlight,nn1,1970,fic
cold,cold,jj,1970,fic
sound,sound,vv0@,1970,fic
bright,bright,jj,1970,fic
bitter,bitter,jj,1970,fic
sight,sight,nn1,1970,fic
watch,watch,nn1_vv0,1970,fic
taste,taste,nn1,1970,fic
look,look,vvi,1970,fic
look,look,vvi,1970,fic
gray,gray,jj,1970,fic
dark,dark,jj_nn1,1970,fic
yellow,yellow,jj,1970,fic
black,black,jj_nn1@,1970,fic
purple,purple,jj_nn1@,1970,fic
green,green,jj_nn1,1970,fic
blue,blue,jj,1970,fic
pink,pink,jj,1970,fic
see,see,vvi,1970,fic
gray,gray,jj_nn1@,1970,fic
eye,eye,nn1,1970,fic
green,green,jj,1970,fic
sunlight,sunlight,nn1,1970,fic
cold,cold,nn1_jj,1970,fic
hear,hear,vvi,1970,fic
rattle,rattle,nn1,1970,fic
groan,groan,vvi,1970,fic
voice,voice,nn1,1970,fic
picture,picture,nn1,1970,fic
cold,cold,jj_nn1,1970,fic
warm,warm,jj_vv0@,1970,fic
smell,smell,nn1,1970,fic
black,black,jj,1970,fic
see,see,vvi,1970,fic
voice,voice,nn1,1970,fic
look,look,vvi,1970,fic
cold,cold,jj_nn1,1970,fic
noise,noise,nn1,1970,fic
clear,clear,vvi,1970,fic
dumb,dumb,jj,1970,fic
look,look,vv0,1970,fic
voice,voice,nn1,1970,fic
sight,sight,nn1,1970,fic
sunlight,sunlight,nn1,1970,fic
sweet,sweet,jj_nn1@,1970,fic
bitter,bitter,jj,1970,fic
voice,voice,nn1,1970,fic
pale,pale,jj,1970,fic
tender,tender,jj_vv0@,1970,fic
red,red,jj,1970,fic
shining,shine,vvg,1970,fic
sunny,sunny,jj,1970,fic
look,look,nn1,1970,fic
silence,silence,nn1,1970,fic
sight,sight,nn1,1970,fic
see,see,vvi,1970,fic
look,look,vvi,1970,fic
look,look,vv0,1970,fic
look,look,nn1,1970,fic
orange,orange,nn1,1970,fic
cold,cold,jj_nn1,1970,fic
look,look,nn1,1970,fic
glance,glance,nn1,1970,fic
look,look,nn1,1970,fic
see,see,vvi,1970,fic
ring,ring,vvi,1970,fic
ring,ring,vvi,1970,fic
loud,loud,rr,1970,fic
dark,dark,nn1_jj,1970,fic
reflection,reflection,nn1,1970,fic
white,white,jj,1970,fic
black,black,jj,1970,fic
sharp,sharp,jj,1970,fic
hear,hear,vvi,1970,fic
cold,cold,nn1_jj,1970,fic
cold,cold,jj_nn1,1970,fic
voice,voice,nn1,1970,fic
sound,sound,nn1,1970,fic
whisper,whisper,nn1,1970,fic
wet,wet,vvd@_vv0@_vvn@_jj,1970,fic
