Word,Lemma,POS,Year,Register
voice,voice,nn1,1840,fic
clear,clear,jj,1840,fic
dark,dark,jj_nn1,1840,fic
warmth,warmth,nn1,1840,fic
warm,warm,jj,1840,fic
see,see,vvi,1840,fic
voice,voice,nn1,1840,fic
sweet,sweet,jj,1840,fic
speak,speak,vv0,1840,fic
speak,speak,vv0,1840,fic
speak,speak,vv0,1840,fic
pale,pale,jj,1840,fic
see,see,vvi,1840,fic
pale,pale,jj,1840,fic
reflection,reflection,nn1,1840,fic
image,image,nn1,1840,fic
silent,silent,jj,1840,fic
silence,silence,nn1,1840,fic
silence,silence,nn1,1840,fic
burning,burning,jj,1840,fic
disgusting,disgusting,jj,1840,fic
tender,tender,jj,1840,fic
behold,behold,vvi,1840,fic
glance,glance,nn1,1840,fic
thunder,thunder,nn1,1840,fic
glance,glance,nn1,1840,fic
pale,pale,jj,1840,fic
voice,voice,nn1,1840,fic
see,see,vvi,1840,fic
hear,hear,vvi,1840,fic
stroke,stroke,nn1,1840,fic
see,see,vvi,1840,fic
see,see,vvi,1840,fic
shadow,shadow,nn1,1840,fic
sweet,sweet,jj,1840,fic
heat,heat,nn1,1840,fic
bright,bright,jj,1840,fic
moonlight,moonlight,nn1,1840,fic
dark,dark,jj_nn1,1840,fic
peal,peal,nn1,1840,fic
thunder,thunder,nn1,1840,fic
sound,sound,nn1,1840,fic
peal,peal,nn1,1840,fic
delicious,delicious,jj,1840,fic
black,black,jj,1840,fic
blue,blue,jj,1840,fic
illuminated,illuminate,vvn,1840,fic
soft,soft,jj,1840,fic
silence,silence,nn1,1840,fic
reflection,reflection,nn1,1840,fic
hot,hot,jj,1840,fic
white,white,jj,1840,fic
gaze,gaze,nn1,1840,fic
touch,touch,vvi,1840,fic
sound,sound,nn1,1840,fic
voice,voice,nn1,1840,fic
see,see,vvi,1840,fic
scarlet,scarlet,np1_jj,1840,fic
scarlet,scarlet,np1_jj,1840,fic
scarlet,scarlet,np1_jj,1840,fic
scarlet,scarlet,np1_jj,1840,fic
scarlet,scarlet,np1_jj,1840,fic
watch,watch,nn1_vv0,1840,fic
green,green,nn1_jj,1840,fic
reflection,reflection,nn1,1840,fic
sweet,sweet,jj,1840,fic
voice,voice,nn1,1840,fic
pale,pale,jj,1840,fic
dry,dry,jj,1840,fic
image,image,nn1,1840,fic
cold,cold,jj_nn1,1840,fic
scarlet,scarlet,np1_jj,1840,fic
scarlet,scarlet,np1_jj,1840,fic
perfume,perfume,nn1,1840,fic
sound,sound,nn1,1840,fic
music,music,nn1,1840,fic
speak,speak,vv0,1840,fic
tender,tender,vv0@,1840,fic
voice,voice,nn1,1840,fic
look,look,nn1,1840,fic
sweet,sweet,jj,1840,fic
clear,clear,jj,1840,fic
whisper,whisper,nn1,1840,fic
sound,sound,nn1,1840,fic
noise,noise,nn1,1840,fic
shout,shout,nn1,1840,fic
silence,silence,nn1,1840,fic
voice,voice,nn1,1840,fic
peal,peal,nn1,1840,fic
silent,silent,jj,1840,fic
sharp,sharp,jj,1840,fic
glance,glance,nn1,1840,fic
see,see,vvi,1840,fic
sound,sound,nn1,1840,fic
voice,voice,nn1,1840,fic
ringing,ring,vvg_nn1,1840,fic
shadow,shadow,nn1,1840,fic
sweetness,sweetness,nn1,1840,fic
pale,pale,jj,1840,fic
voice,voice,nn1,1840,fic
white,white,jj,1840,fic
noise,noise,nn1,1840,fic
silence,silence,nn1,1840,fic
pale,pale,jj,1840,fic
voice,voice,nn1,1840,fic
voice,voice,nn1,1840,fic
cold,cold,jj,1840,fic
dark,dark,jj_nn1,1840,fic
look,look,vv0,1840,fic
silent,silent,jj,1840,fic
look,look,vv0,1840,fic
hear,hear,vvi,1840,fic
talk,talk,vvi,1840,fic
sweet,sweet,jj,1840,fic
see,see,vv0,1840,fic
burning,burning,jj,1840,fic
cold,cold,jj_nn1,1840,fic
hear,hear,vvi,1840,fic
sweet,sweet,jj_nn1@,1840,fic
see,see,vvi,1840,fic
cold,cold,nn1_jj,1840,fic
bitter,bitter,jj,1840,fic
sharp,sharp,np1@,1840,fic
tune,tune,nn1,1840,fic
look,look,vvi,1840,fic
look,look,nn1_vv0,1840,fic
watch,watch,vv0_nn1,1840,fic
listen,listen,vvi,1840,fic
look,look,vv0,1840,fic
taste,taste,nn1,1840,fic
whisper,whisper,nn1,1840,fic
green,green,jj,1840,fic
sound,sound,nn1,1840,fic
behold,behold,vvi,1840,fic
hoarse,hoarse,jj,1840,fic
eye,eye,nn1,1840,fic
pale,pale,jj,1840,fic
dry,dry,jj,1840,fic
black,black,jj,1840,fic
see,see,vvi,1840,fic
brilliant,brilliant,jj,1840,fic
noise,noise,nn1,1840,fic
sound,sound,rr%_jj@,1840,fic
see,see,vvi,1840,fic
silence,silence,nn1,1840,fic
talk,talk,vvi,1840,fic
image,image,nn1,1840,fic
see,see,vv0,1840,fic
voice,voice,nn1,1840,fic
roar,roar,nn1,1840,fic
cold,cold,jj,1840,fic
silence,silence,nn1,1840,fic
sound,sound,nn1,1840,fic
sharp,sharp,jj,1840,fic
dark,dark,jj_nn1,1840,fic
see,see,vvi,1840,fic
whiteness,whiteness,nn1,1840,fic
silent,silent,jj,1840,fic
look,look,vv0,1840,fic
silence,silence,nn1,1840,fic
listen,listen,vvi,1840,fic
music,music,nn1,1840,fic
melody,melody,nn1,1840,fic
sweet,sweet,jj,1840,fic
white,white,jj,1840,fic
moonlight,moonlight,nn1,1840,fic
black,black,jj,1840,fic
dark,dark,jj_nn1,1840,fic
soft,soft,jj,1840,fic
silent,silent,jj,1840,fic
eye,eye,nn1,1840,fic
shadow,shadow,nn1,1840,fic
look,look,vv0_nn1,1840,fic
white,white,jj,1840,fic
fetid,fetid,nn1_jj,1840,fic
hot,hot,jj,1840,fic
bitter,bitter,jj_nn1@,1840,fic
polished,polished,jj,1840,fic
black,black,jj,1840,fic
dark,dark,nn1_jj,1840,fic
brilliant,brilliant,jj,1840,fic
dark,dark,nn1_jj,1840,fic
bright,bright,jj,1840,fic
radiant,radiant,jj,1840,fic
pale,pale,jj,1840,fic
