Word,Lemma,POS,Year,Register
sight,sight,nn1,1820,fic
sound,sound,nn1,1820,fic
loud,loud,jj,1820,fic
eye,eye,nn1,1820,fic
espy,espy,nn1_jj,1820,fic
sharp,sharp,rr@_jj,1820,fic
see,see,vvi,1820,fic
sour,sour,jj,1820,fic
dull,dull,jj,1820,fic
golden,golden,jj,1820,fic
scarlet,scarlet,jj,1820,fic
murmur,murmur,nn1_vv0,1820,fic
groan,groan,nn1_vv0,1820,fic
roar,roar,nn1,1820,fic
hear,hear,vvi,1820,fic
look,look,vv0,1820,fic
black,black,jj,1820,fic
hear,hear,vv0,1820,fic
tender,tender,jj_nn1@,1820,fic
groan,groan,vv0,1820,fic
clear,clear,jj_rr@,1820,fic
eye,eye,nn1,1820,fic
see,see,vv0,1820,fic
black,black,jj,1820,fic
red,red,nn1_jj,1820,fic
silent,silent,jj,1820,fic
sight,sight,nn1,1820,fic
thunder,thunder,nn1,1820,fic
sound,sound,vvi,1820,fic
behold,behold,vv0,1820,fic
behold,behold,vv0,1820,fic
stare,stare,vvi,1820,fic
hear,hear,vv0,1820,fic
tender,tender,jj,1820,fic
see,see,vv0,1820,fic
see,see,vv0,1820,fic
voice,voice,nn1,1820,fic
sound,sound,nn1,1820,fic
thunder,thunder,nn1_vv0@,1820,fic
touch,touch,nn1,1820,fic
silence,silence,nn1_vv0@,1820,fic
silence,silence,nn1_vv0@,1820,fic
hear,hear,vv0,1820,fic
shadow,shadow,nn1,1820,fic
white,white,jj,1820,fic
ring,ring,nn1,1820,fic
hear,hear,vv0,1820,fic
silent,silent,jj,1820,fic
glitter,glitter,nn1,1820,fic
music,music,nn1,1820,fic
sound,sound,nn1,1820,fic
creak,creak,nn1,1820,fic
shout,shout,nn1,1820,fic
behold,behold,vv0,1820,fic
hear,hear,vv0,1820,fic
voice,voice,nn1,1820,fic
voice,voice,nn1,1820,fic
see,see,vv0,1820,fic
talk,talk,nn1,1820,fic
behold,behold,vvi,1820,fic
eye,eye,nn1,1820,fic
bright,bright,jj,1820,fic
sight,sight,nn1,1820,fic
dim,dim,jj,1820,fic
behold,behold,vv0,1820,fic
see,see,vv0,1820,fic
behold,behold,vv0,1820,fic
roar,roar,nn1,1820,fic
behold,behold,vv0,1820,fic
soft,soft,jj,1820,fic
see,see,vv0,1820,fic
behold,behold,vv0,1820,fic
look,look,nn1_vv0,1820,fic
sight,sight,nn1,1820,fic
eye,eye,nn1,1820,fic
thunder,thunder,nn1,1820,fic
sound,sound,nn1,1820,fic
sight,sight,nn1,1820,fic
crimson,crimson,jj_nn1,1820,fic
brown,brown,nn1@_jj,1820,fic
fife,fife,nn1,1820,fic
music,music,nn1,1820,fic
see,see,vv0,1820,fic
behold,behold,vv0,1820,fic
sweet,sweet,nn1@_jj,1820,fic
clear,clear,jj_vv0@_rr@,1820,fic
cold,cold,jj,1820,fic
look,look,vv0,1820,fic
cold,cold,jj_nn1,1820,fic
bitter,bitter,jj,1820,fic
sight,sight,nn1,1820,fic
look,look,vv0,1820,fic
pale,pale,jj_vv0%,1820,fic
sight,sight,nn1,1820,fic
silent,silent,jj,1820,fic
speak,speak,vvi,1820,fic
creak,creak,vvi,1820,fic
see,see,vv0,1820,fic
see,see,vv0,1820,fic
behold,behold,vv0,1820,fic
see,see,vv0,1820,fic
see,see,vv0,1820,fic
behold,behold,vv0,1820,fic
gleam,gleam,nn1,1820,fic
sight,sight,nn1,1820,fic
behold,behold,vv0,1820,fic
bright,bright,jj,1820,fic
see,see,vv0,1820,fic
eye,eye,nn1,1820,fic
see,see,vv0,1820,fic
look,look,vv0,1820,fic
tender,tender,jj_vv0@,1820,fic
loud,loud,jj_rr,1820,fic
thunder,thunder,nn1,1820,fic
look,look,nn1,1820,fic
dark,dark,jj_nn1,1820,fic
heat,heat,nn1,1820,fic
dull,dull,jj,1820,fic
see,see,vvi,1820,fic
hear,hear,vvi,1820,fic
dull,dull,jj_vv0@,1820,fic
burning,burn,jj_vvg,1820,fic
dim,dim,jj_vv0,1820,fic
watch,watch,nn1,1820,fic
peep,peep,vvi,1820,fic
shine,shine,vvi,1820,fic
noisy,noisy,jj,1820,fic
shine,shine,vvi,1820,fic
voice,voice,nn1,1820,fic
echo,echo,vvi,1820,fic
taste,taste,nn1,1820,fic
eye,eye,nn1,1820,fic
dull,dull,jj,1820,fic
eye,eye,nn1,1820,fic
hear,hear,vv0,1820,fic
soft,soft,jj,1820,fic
sweet,sweet,jj,1820,fic
spongy,spongy,jj,1820,fic
soft,soft,jj,1820,fic
bright,bright,jj,1820,fic
see,see,vvi,1820,fic
clear,clear,vvi,1820,fic
look,look,vv0,1820,fic
look,look,vv0,1820,fic
glance,glance,nn1,1820,fic
sweet,sweet,jj,1820,fic
shine,shine,vvi,1820,fic
bright,bright,jj,1820,fic
sight,sight,vvi,1820,fic
hear,hear,vvi,1820,fic
red,red,jj,1820,fic
loud,loud,jj,1820,fic
glance,glance,nn1,1820,fic
peep,peep,vv0_nn1_np1,1820,fic
sharp,sharp,jj,1820,fic
glance,glance,nn1,1820,fic
tender,tender,jj,1820,fic
sound,sound,nn1,1820,fic
crimson,crimson,jj_nn1,1820,fic
touch,touch,nn1_vv0,1820,fic
shine,shine,vv0,1820,fic
shade,shade,nn1,1820,fic
look,look,nn1,1820,fic
orange,orange,jj_nn1,1820,fic
sight,sight,vvi,1820,fic
shade,shade,nn1,1820,fic
resound,resound,vv0_nn1,1820,fic
dark,dark,jj_nn1,1820,fic
song,song,nn1,1820,fic
pale,pale,jj,1820,fic
shade,shade,vvi,1820,fic
sweet,sweet,jj,1820,fic
crimson,crimson,jj_nn1,1820,fic
black,black,jj,1820,fic
song,song,nn1,1820,fic
sweet,sweet,jj,1820,fic
gaze,gaze,nn1,1820,fic
gleam,gleam,nn1,1820,fic
glance,glance,nn1,1820,fic
thunder,thunder,nn1,1820,fic
eye,eye,nn1,1820,fic
pale,pale,jj,1820,fic
shade,shade,nn1,1820,fic
roar,roar,vv0_nn1,1820,fic
sound,sound,nn1,1820,fic
shade,shade,nn1,1820,fic
song,song,nn1,1820,fic
cold,cold,jj,1820,fic
bright,bright,jj,1820,fic
sunny,sunny,jj,1820,fic
green,green,nn1_jj,1820,fic
dazzling,dazzling,jj,1820,fic
blue,blue,jj,1820,fic
sight,sight,nn1,1820,fic
green,green,jj_nn1,1820,fic
bright,bright,jj_np1@,1820,fic
color,color,nn1,1820,fic
red,red,nn1_jj,1820,fic
dark,dark,jj_nn1,1820,fic
sight,sight,vvi,1820,fic
bright,bright,jj_np1@,1820,fic
dim,dim,jj,1820,fic
see,see,vv0,1820,fic
see,see,vv0,1820,fic
bright,bright,jj,1820,fic
crimson,crimson,jj,1820,fic
dark,dark,nn1_jj,1820,fic
hear,hear,vv0,1820,fic
pale,pale,jj,1820,fic
loud,loud,rr,1820,fic
shout,shout,nn1,1820,fic
glitter,glitter,nn1,1820,fic
see,see,vv0,1820,fic
smoky,smoky,jj,1820,fic
black,black,jj,1820,fic
chatter,chatter,vvi,1820,fic
see,see,vvi,1820,fic
loud,loud,jj_rr,1820,fic
bombastic,bombastic,jj_nn1@,1820,fic
chatter,chatter,nn1,1820,fic
bright,bright,jj,1820,fic
sight,sight,nn1,1820,fic
dim,dim,jj,1820,fic
see,see,vv0,1820,fic
see,see,vv0,1820,fic
see,see,vvi,1820,fic
behold,behold,vv0,1820,fic
see,see,vv0,1820,fic
gleam,gleam,nn1,1820,fic
shine,shine,vvi,1820,fic
see,see,vv0,1820,fic
music,music,nn1,1820,fic
voice,voice,nn1,1820,fic
tender,tender,jj,1820,fic
dark,dark,nn1_jj,1820,fic
green,green,jj_nn1,1820,fic
smooth,smooth,jj,1820,fic
see,see,vv0,1820,fic
gaze,gaze,nn1,1820,fic
see,see,vvi,1820,fic
vivid,vivid,jj,1820,fic
bright,bright,jj,1820,fic
dim,dim,vv0,1820,fic
see,see,vvi,1820,fic
bright,bright,jj,1820,fic
golden,golden,jj,1820,fic
see,see,vv0,1820,fic
shade,shade,nn1,1820,fic
dark,dark,jj_nn1,1820,fic
eye,eye,nn1,1820,fic
see,see,vv0,1820,fic
shade,shade,nn1,1820,fic
red,red,jj_nn1,1820,fic
dark,dark,jj_nn1,1820,fic
voice,voice,nn1,1820,fic
eye,eye,nn1,1820,fic
soft,soft,jj,1820,fic
sight,sight,nn1,1820,fic
noisy,noisy,jj,1820,fic
deaf,deaf,jj,1820,fic
loud,loud,jj,1820,fic
voice,voice,nn1,1820,fic
see,see,vv0,1820,fic
voice,voice,nn1,1820,fic
loud,loud,jj,1820,fic
see,see,vvi,1820,fic
see,see,vv0,1820,fic
behold,behold,vv0,1820,fic
pale,pale,jj,1820,fic
hear,hear,vvi,1820,fic
see,see,vv0,1820,fic
music,music,nn1,1820,fic
see,see,vv0,1820,fic
resound,resound,vv0,1820,fic
pale,pale,jj_vv0%,1820,fic
bright,bright,jj,1820,fic
soft,soft,jj,1820,fic
silent,silent,jj,1820,fic
hear,hear,vv0,1820,fic
sweet,sweet,jj_nn1@,1820,fic
harp,harp,nn1,1820,fic
song,song,nn1,1820,fic
pale,pale,jj,1820,fic
piercing,pierce,jj,1820,fic
soft,soft,jj,1820,fic
sweet,sweet,jj,1820,fic
tender,tender,jj,1820,fic
eye,eye,nn1,1820,fic
bright,bright,jj,1820,fic
see,see,vvi,1820,fic
behold,behold,vv0,1820,fic
sweet,sweet,jj,1820,fic
watch,watch,nn1,1820,fic
voice,voice,nn1,1820,fic
eye,eye,nn1,1820,fic
watch,watch,vv0_nn1,1820,fic
behold,behold,vv0,1820,fic
behold,behold,vv0,1820,fic
pale,pale,jj,1820,fic
behold,behold,vv0,1820,fic
soft,soft,jj,1820,fic
look,look,nn1,1820,fic
eye,eye,nn1,1820,fic
fragrance,fragrance,nn1,1820,fic
bright,bright,jj,1820,fic
smooth,smooth,jj,1820,fic
soft,soft,jj,1820,fic
white,white,jj_nn1@,1820,fic
blue,blue,jj,1820,fic
eye,eye,nn1,1820,fic
sound,sound,nn1,1820,fic
sweet,sweet,jj,1820,fic
soft,soft,jj,1820,fic
listen,listen,vvi,1820,fic
bright,bright,jj,1820,fic
burning,burning,jj,1820,fic
sweet,sweet,jj,1820,fic
