Word,Lemma,POS,Year,Register
watch,watch,nn1,1910,fic
sound,sound,nn1,1910,fic
reflection,reflection,nn1,1910,fic
gray,gray,jj_nn1@,1910,fic
stare,stare,nn1@_vv0,1910,fic
audible,audible,jj,1910,fic
sound,sound,nn1,1910,fic
eye,eye,nn1,1910,fic
sharp,sharp,jj,1910,fic
silent,silent,jj,1910,fic
burgundy,burgundy,np1,1910,fic
eye,eye,nn1,1910,fic
burgundy,burgundy,np1,1910,fic
hear,hear,vvi,1910,fic
eye,eye,nn1,1910,fic
talk,talk,nn1,1910,fic
look,look,vv0,1910,fic
dull,dull,jj,1910,fic
eye,eye,nn1,1910,fic
eye,eye,nn1,1910,fic
peal,peal,nn1,1910,fic
see,see,vvi,1910,fic
dim,dim,jj,1910,fic
dark,dark,nn1_jj,1910,fic
sweet,sweet,jj,1910,fic
reflection,reflection,nn1,1910,fic
rigid,rigid,jj,1910,fic
picture,picture,nn1_vv0@,1910,fic
picture,picture,vvi,1910,fic
sight,sight,nn1,1910,fic
soft,soft,jj,1910,fic
see,see,vvi,1910,fic
look,look,nn1,1910,fic
look,look,vv0_nn1,1910,fic
see,see,vv0,1910,fic
touch,touch,nn1,1910,fic
gaze,gaze,nn1,1910,fic
blonde,blonde,jj,1910,fic
pale,pale,jj,1910,fic
stare,stare,nn1@,1910,fic
smooth,smooth,jj,1910,fic
slippery,slippery,jj,1910,fic
taste,taste,nn1,1910,fic
hear,hear,vvi,1910,fic
stare,stare,vvi,1910,fic
look,look,vvi,1910,fic
see,see,vv0,1910,fic
see,see,vv0,1910,fic
talk,talk,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
eye,eye,nn1,1910,fic
see,see,vvi,1910,fic
talk,talk,nn1,1910,fic
dim,dim,jj_vv0,1910,fic
shadow,shadow,nn1,1910,fic
groan,groan,nn1,1910,fic
blue,blue,jj,1910,fic
dark,dark,jj_nn1,1910,fic
sharp,sharp,jj,1910,fic
shadow,shadow,nn1,1910,fic
hear,hear,vvi,1910,fic
ring,ring,nn1,1910,fic
shadow,shadow,nn1,1910,fic
shadow,shadow,nn1,1910,fic
shadow,shadow,nn1,1910,fic
look,look,vv0,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
look,look,vv0,1910,fic
talk,talk,nn1,1910,fic
glance,glance,nn1_vv0,1910,fic
watch,watch,nn1,1910,fic
watch,watch,nn1_vv0,1910,fic
look,look,vvi,1910,fic
dark,dark,jj_nn1,1910,fic
viscous,viscous,jj,1910,fic
look,look,vvi,1910,fic
talk,talk,nn1,1910,fic
shade,shade,nn1,1910,fic
wrinkled,wrinkle,vvd,1910,fic
silence,silence,nn1,1910,fic
bright,bright,jj,1910,fic
gray,gray,jj,1910,fic
rigid,rigid,jj,1910,fic
sight,sight,nn1,1910,fic
glance,glance,nn1,1910,fic
cold,cold,jj,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
red,red,jj_nn1,1910,fic
ring,ring,nn1,1910,fic
eye,eye,nn1,1910,fic
dull,dull,jj,1910,fic
silence,silence,nn1,1910,fic
dark,dark,jj_nn1,1910,fic
dull,dull,jj,1910,fic
speak,speak,vvi,1910,fic
reeking,reeking,jj@_nn1@,1910,fic
clear,clear,jj,1910,fic
see,see,vvi,1910,fic
glance,glance,vvi,1910,fic
talk,talk,vvi,1910,fic
sight,sight,nn1,1910,fic
bright,bright,jj,1910,fic
gaze,gaze,nn1,1910,fic
red,red,jj_nn1,1910,fic
whistle,whistle,nn1,1910,fic
stare,stare,nn1@,1910,fic
silence,silence,nn1,1910,fic
visual,visual,jj,1910,fic
sweetness,sweetness,nn1,1910,fic
pale,pale,jj,1910,fic
dense,dense,jj,1910,fic
look,look,vvi,1910,fic
brilliant,brilliant,jj,1910,fic
see,see,vvi,1910,fic
brilliant,brilliant,jj,1910,fic
image,image,nn1,1910,fic
rough,rough,jj,1910,fic
black,black,jj,1910,fic
eye,eye,nn1,1910,fic
picture,picture,nn1,1910,fic
touch,touch,nn1,1910,fic
glance,glance,nn1,1910,fic
see,see,vvi,1910,fic
clear,clear,jj_rr@,1910,fic
red,red,jj,1910,fic
shade,shade,nn1,1910,fic
dark,dark,jj_nn1,1910,fic
speak,speak,vv0,1910,fic
see,see,vvi,1910,fic
look,look,vvi,1910,fic
touch,touch,vvi,1910,fic
speak,speak,vvi,1910,fic
bright,bright,jj,1910,fic
white,white,jj,1910,fic
look,look,nn1,1910,fic
see,see,vv0,1910,fic
speak,speak,vvi,1910,fic
see,see,vv0,1910,fic
see,see,vvi,1910,fic
music,music,nn1,1910,fic
silent,silent,jj,1910,fic
concert,concert,nn1,1910,fic
voice,voice,nn1,1910,fic
glance,glance,nn1,1910,fic
touch,touch,nn1,1910,fic
touch,touch,nn1,1910,fic
see,see,vvi,1910,fic
rough,rough,jj,1910,fic
imperceptible,imperceptible,jj,1910,fic
warmth,warmth,nn1,1910,fic
suffused,suffuse,vvn,1910,fic
shadow,shadow,nn1,1910,fic
see,see,vvi,1910,fic
see,see,vv0,1910,fic
cold,cold,jj_nn1,1910,fic
hear,hear,vvi,1910,fic
song,song,nn1,1910,fic
look,look,vv0,1910,fic
see,see,vvi,1910,fic
yellow,yellow,jj_nn1@,1910,fic
black,black,jj,1910,fic
cold,cold,jj,1910,fic
gleam,gleam,nn1,1910,fic
bronze,bronze,nn1,1910,fic
pale,pale,jj,1910,fic
dim,dim,jj,1910,fic
cold,cold,nn1_jj,1910,fic
sight,sight,nn1,1910,fic
silence,silence,nn1,1910,fic
red,red,jj_nn1,1910,fic
cold,cold,jj_nn1,1910,fic
sweetness,sweetness,nn1,1910,fic
see,see,vvi,1910,fic
talk,talk,nn1,1910,fic
talk,talk,nn1,1910,fic
black,black,jj,1910,fic
watch,watch,vvi,1910,fic
see,see,vvi,1910,fic
white,white,np1,1910,fic
listen,listen,vvi,1910,fic
picture,picture,vvi,1910,fic
strident,strident,jj,1910,fic
taste,taste,nn1,1910,fic
hear,hear,vv0,1910,fic
see,see,vvi,1910,fic
red,red,jj_nn1,1910,fic
cold,cold,nn1,1910,fic
eye,eye,nn1,1910,fic
sight,sight,nn1,1910,fic
taste,taste,nn1,1910,fic
brilliant,brilliant,jj,1910,fic
fluid,fluid,nn1_jj@,1910,fic
clear,clear,jj,1910,fic
white,white,jj,1910,fic
see,see,vvi,1910,fic
glance,glance,nn1,1910,fic
pale,pale,jj,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
taste,taste,nn1,1910,fic
silence,silence,nn1,1910,fic
glance,glance,nn1_vv0,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vvi,1910,fic
see,see,vv0,1910,fic
look,look,vvi,1910,fic
tune,tune,nn1,1910,fic
see,see,vvi,1910,fic
eye,eye,nn1,1910,fic
silent,silent,jj,1910,fic
see,see,vvi,1910,fic
groan,groan,nn1,1910,fic
wrinkled,wrinkle,vvn,1910,fic
red,red,jj,1910,fic
purple,purple,jj_nn1@,1910,fic
pale,pale,jj,1910,fic
silence,silence,nn1,1910,fic
glance,glance,nn1,1910,fic
glance,glance,nn1,1910,fic
look,look,vv0,1910,fic
glance,glance,nn1,1910,fic
silence,silence,nn1,1910,fic
gaze,gaze,nn1,1910,fic
gleam,gleam,nn1,1910,fic
silent,silent,jj,1910,fic
look,look,vv0,1910,fic
eye,eye,nn1,1910,fic
eye,eye,nn1,1910,fic
hot,hot,jj,1910,fic
see,see,vvi,1910,fic
eye,eye,nn1,1910,fic
black,black,jj,1910,fic
red,red,jj_nn1,1910,fic
red,red,jj_nn1,1910,fic
dim,dim,jj,1910,fic
white,white,jj,1910,fic
gleam,gleam,nn1,1910,fic
silence,silence,nn1,1910,fic
talk,talk,nn1,1910,fic
dry,dry,jj,1910,fic
voice,voice,nn1,1910,fic
image,image,nn1,1910,fic
silent,silent,jj,1910,fic
voice,voice,nn1,1910,fic
greyish,greyish,jj,1910,fic
eye,eye,nn1,1910,fic
see,see,vvi,1910,fic
glimpse,glimpse,nn1,1910,fic
polished,polished,jj,1910,fic
talk,talk,nn1,1910,fic
talk,talk,nn1,1910,fic
dense,dense,jj,1910,fic
silence,silence,nn1,1910,fic
