Word,Lemma,POS,Year,Register
bass,bass,nn1,1940,fic
roar,roar,vvi,1940,fic
red,red,jj_nn1,1940,fic
smell,smell,nn1,1940,fic
voice,voice,nn1,1940,fic
warm,warm,jj,1940,fic
wet,wet,jj_vvn@,1940,fic
taste,taste,nn1,1940,fic
eye,eye,nn1,1940,fic
dry,dry,vvi,1940,fic
dry,dry,vvi,1940,fic
dry,dry,vvi,1940,fic
sharp,sharp,jj_rr@,1940,fic
black,black,jj,1940,fic
see,see,vvi,1940,fic
see,see,vv0,1940,fic
look,look,vvi,1940,fic
noise,noise,nn1,1940,fic
blue,blue,jj,1940,fic
blue,blue,jj,1940,fic
blue,blue,jj,1940,fic
see,see,vvi,1940,fic
see,see,vvi,1940,fic
hot,hot,jj,1940,fic
cold,cold,jj,1940,fic
blue,blue,jj,1940,fic
talk,talk,vvi,1940,fic
look,look,vv0,1940,fic
see,see,vv0,1940,fic
whistle,whistle,nn1,1940,fic
see,see,vvi,1940,fic
hot,hot,jj,1940,fic
clear,clear,jj_rr@,1940,fic
see,see,vvi,1940,fic
white,white,jj,1940,fic
pale,pale,jj,1940,fic
blue,blue,jj,1940,fic
brilliant,brilliant,jj,1940,fic
sunlight,sunlight,nn1,1940,fic
see,see,vvi,1940,fic
sunny,sunny,jj,1940,fic
warm,warm,jj,1940,fic
warm,warm,jj,1940,fic
dry,dry,jj_vv0@,1940,fic
look,look,vv0,1940,fic
cold,cold,jj_nn1,1940,fic
see,see,vv0,1940,fic
look,look,vv0,1940,fic
look,look,vv0,1940,fic
look,look,vv0,1940,fic
red,red,jj_nn1,1940,fic
dry,dry,jj,1940,fic
see,see,vvi,1940,fic
look,look,vv0,1940,fic
watch,watch,vv0,1940,fic
bang,bang,vvi,1940,fic
talk,talk,vvi,1940,fic
white,white,jj,1940,fic
see,see,vvi,1940,fic
voice,voice,nn1,1940,fic
eye,,fo,1940,fic
dark,dark,jj,1940,fic
silence,silence,nn1_vv0@,1940,fic
silence,silence,nn1,1940,fic
voice,voice,nn1,1940,fic
hear,hear,vvi,1940,fic
brown,brown,np1,1940,fic
see,see,vvi,1940,fic
brown,brown,np1,1940,fic
see,see,vv0,1940,fic
glance,glance,nn1_vv0,1940,fic
look,look,vv0,1940,fic
talk,talk,vvi,1940,fic
look,look,vvi,1940,fic
hear,hear,vvi,1940,fic
wet,wet,vvn,1940,fic
look,look,nn1,1940,fic
colored,color,jj@,1940,fic
silent,silent,jj,1940,fic
voice,voice,nn1,1940,fic
yellow,yellow,jj,1940,fic
sound,sound,nn1,1940,fic
yellow,yellow,jj,1940,fic
dry,dry,jj,1940,fic
dry,dry,jj,1940,fic
ring,ring,nn1,1940,fic
voice,voice,nn1,1940,fic
sweet,sweet,jj,1940,fic
see,see,vvi,1940,fic
talk,talk,nn1,1940,fic
see,see,vvi,1940,fic
eye,eye,nn1,1940,fic
crimson,crimson,nn1_jj,1940,fic
white,white,jj_nn1@,1940,fic
listen,listen,vv0,1940,fic
talk,talk,nn1,1940,fic
hot,hot,jj,1940,fic
see,see,vv0,1940,fic
see,see,vv0,1940,fic
see,see,vv0,1940,fic
look,look,nn1,1940,fic
cold,cold,jj,1940,fic
look,look,vvi,1940,fic
hear,hear,vvi,1940,fic
talk,talk,vvi,1940,fic
touch,touch,vv0,1940,fic
hum,hum,uh@_vv0,1940,fic
see,see,vvi,1940,fic
brilliant,brilliant,jj,1940,fic
howl,howl,nn1,1940,fic
look,look,vvi,1940,fic
black,black,nn1@_jj_np1@,1940,fic
red,red,jj_nn1,1940,fic
see,see,vv0,1940,fic
look,look,vv0,1940,fic
look,look,vv0,1940,fic
picture,picture,nn1,1940,fic
listen,listen,vv0,1940,fic
talk,talk,vvi,1940,fic
black,black,jj_nn1@,1940,fic
see,see,vv0,1940,fic
see,see,vv0,1940,fic
see,see,vv0,1940,fic
see,see,vvi,1940,fic
warmth,warmth,nn1,1940,fic
sour,sour,jj,1940,fic
look,look,vvi,1940,fic
patter,patter,nn1,1940,fic
hot,hot,jj,1940,fic
crack,crack,vvi,1940,fic
crack,crack,nn1,1940,fic
loud,loud,rr_jj,1940,fic
sharp,sharp,jj,1940,fic
see,see,vvi,1940,fic
see,see,vvi,1940,fic
see,see,vvi,1940,fic
see,see,vvi,1940,fic
tune,tune,nn1,1940,fic
look,look,vvi,1940,fic
eye,eye,nn1,1940,fic
watch,watch,vvi,1940,fic
see,see,vvi,1940,fic
look,look,nn1,1940,fic
shine,shine,nn1,1940,fic
glance,glance,nn1_vv0,1940,fic
speak,speak,vvi,1940,fic
see,see,vvi,1940,fic
look,look,nn1_vv0,1940,fic
see,see,vv0,1940,fic
hear,hear,vv0,1940,fic
hear,hear,vv0,1940,fic
hear,hear,vv0,1940,fic
hear,hear,vvi,1940,fic
loud,loud,jj_rr,1940,fic
sharp,sharp,jj,1940,fic
sweet,sweet,jj_nn1@,1940,fic
crimson,crimson,nn1_jj,1940,fic
scream,scream,nn1,1940,fic
see,see,vv0,1940,fic
see,see,vv0,1940,fic
see,see,vv0,1940,fic
loud,loud,jj_rr,1940,fic
loud,loud,rr_jj,1940,fic
hear,hear,vvi,1940,fic
see,see,vv0,1940,fic
see,see,vvi,1940,fic
talk,talk,vvi,1940,fic
see,see,vvi,1940,fic
listen,listen,vv0,1940,fic
talk,talk,vvi,1940,fic
talk,talk,vvi,1940,fic
see,see,vvi,1940,fic
talk,talk,nn1,1940,fic
see,see,vvi,1940,fic
look,look,vv0,1940,fic
eye,eye,nn1,1940,fic
see,see,vvi,1940,fic
talk,talk,nn1,1940,fic
speak,speak,vvi,1940,fic
see,see,vvi,1940,fic
loud,loud,rr_jj,1940,fic
look,look,vvi,1940,fic
dark,dark,jj,1940,fic
dark,dark,jj,1940,fic
red,red,jj_nn1,1940,fic
voice,voice,nn1,1940,fic
look,look,nn1,1940,fic
see,see,vv0,1940,fic
speak,speak,vvi,1940,fic
see,see,vvi,1940,fic
talk,talk,vvi,1940,fic
see,see,vvi,1940,fic
hot,hot,jj,1940,fic
voice,voice,nn1,1940,fic
hear,hear,vvi,1940,fic
speak,speak,vv0,1940,fic
silent,silent,jj,1940,fic
silence,silence,nn1,1940,fic
dark,dark,jj_nn1,1940,fic
speak,speak,vvi,1940,fic
dark,dark,nn1_jj,1940,fic
dark,dark,nn1,1940,fic
shade,shade,nn1,1940,fic
deafening,deafening,jj,1940,fic
see,see,vvi,1940,fic
hear,hear,vvi,1940,fic
voice,voice,nn1,1940,fic
voice,voice,nn1,1940,fic
dark,dark,nn1_jj,1940,fic
dry,dry,jj,1940,fic
see,see,vvi,1940,fic
see,see,vvi,1940,fic
dark,dark,jj_nn1,1940,fic
see,see,vvi,1940,fic
dark,dark,nn1_jj,1940,fic
see,see,vvi,1940,fic
dark,dark,nn1_jj,1940,fic
dark,dark,nn1_jj,1940,fic
silent,silent,jj,1940,fic
hear,hear,vvi,1940,fic
hear,hear,vvi,1940,fic
voice,voice,nn1,1940,fic
cold,cold,jj,1940,fic
watch,watch,nn1,1940,fic
dull,dull,jj,1940,fic
clank,clank,nn1,1940,fic
oily,oily,jj,1940,fic
green,green,jj_nn1,1940,fic
see,see,vvi,1940,fic
whistle,whistle,nn1_vv0,1940,fic
listen,listen,vv0,1940,fic
listen,listen,vv0,1940,fic
speak,speak,vvi,1940,fic
crimson,crimson,nn1_jj,1940,fic
look,look,nn1,1940,fic
look,look,vv0_nn1,1940,fic
talk,talk,vvi,1940,fic
look,look,vvi,1940,fic
crimson,crimson,nn1_jj,1940,fic
look,look,vv0,1940,fic
see,see,vvi,1940,fic
sing,sing,vvi,1940,fic
voice,voice,nn1,1940,fic
hot,hot,jj,1940,fic
see,see,vvi,1940,fic
look,look,vv0,1940,fic
hum,hum,vv0,1940,fic
see,see,vv0,1940,fic
watch,watch,vv0,1940,fic
hear,hear,vv0,1940,fic
look,look,vv0,1940,fic
talk,talk,vvi,1940,fic
see,see,vvi,1940,fic
see,see,vvi,1940,fic
look,look,vv0,1940,fic
black,black,np1@_jj,1940,fic
hear,hear,vvi,1940,fic
listen,listen,vv0,1940,fic
see,see,vvi,1940,fic
violin,violin,nn1,1940,fic
blue,blue,nn1@_jj,1940,fic
touch,touch,nn1,1940,fic
see,see,vv0,1940,fic
look,look,vv0,1940,fic
sing,sing,vvi,1940,fic
hear,hear,vvi,1940,fic
silent,silent,jj,1940,fic
sound,sound,nn1,1940,fic
crack,crack,nn1,1940,fic
thud,thud,nn1,1940,fic
silence,silence,vv0@_nn1,1940,fic
hear,hear,vv0,1940,fic
see,see,vvi,1940,fic
talk,talk,vvi,1940,fic
dark,dark,nn1_jj,1940,fic
smoky,smoky,jj,1940,fic
warmth,warmth,nn1,1940,fic
wet,wet,vvd@_vvn@_jj,1940,fic
dry,dry,vv0@,1940,fic
dry,dry,vv0@,1940,fic
warm,warm,vvi,1940,fic
dry,dry,jj,1940,fic
cold,cold,jj,1940,fic
wet,wet,jj_vvd@,1940,fic
dry,dry,jj,1940,fic
listen,listen,vv0,1940,fic
see,see,vv0,1940,fic
hear,hear,vvi,1940,fic
see,see,vvi,1940,fic
watch,watch,vvi,1940,fic
hear,hear,vvi,1940,fic
burning,burn,vvg_jj,1940,fic
