Word,Lemma,POS,Year,Register
bright,bright,jj,1920,fic
red,red,jj_nn1,1920,fic
pink,pink,jj,1920,fic
white,white,jj,1920,fic
golden,golden,jj,1920,fic
see,see,vvi,1920,fic
yellow,yellow,jj,1920,fic
green,green,jj,1920,fic
see,see,vv0,1920,fic
clap,clap,vv0,1920,fic
hear,hear,vv0,1920,fic
see,see,vv0,1920,fic
red,red,jj,1920,fic
black,black,jj,1920,fic
see,see,vv0,1920,fic
black,black,jj_nn1@,1920,fic
black,black,jj,1920,fic
glare,glare,nn1,1920,fic
black,black,jj,1920,fic
shadow,shadow,nn1,1920,fic
stare,stare,vv0,1920,fic
scream,scream,vv0,1920,fic
white,white,jj,1920,fic
cold,cold,jj,1920,fic
red,red,jj_nn1,1920,fic
red,red,nn1_jj,1920,fic
hot,hot,jj,1920,fic
see,see,vvi,1920,fic
wet,wet,jj,1920,fic
bitter,bitter,jj,1920,fic
hot,hot,jj,1920,fic
buzz,buzz,fu,1920,fic
buzz,buzz,fu,1920,fic
buzz,buzz,fu,1920,fic
buzz,buzz,fu,1920,fic
buzz,buzz,fu,1920,fic
black,black,jj,1920,fic
buzz,buzz,fu,1920,fic
hear,hear,vv0,1920,fic
picture,picture,nn1,1920,fic
watch,watch,vvi,1920,fic
black,black,jj,1920,fic
green,green,nn1_jj,1920,fic
red,red,nn1_jj,1920,fic
blue,blue,jj,1920,fic
green,green,jj,1920,fic
white,white,jj,1920,fic
whistle,whistle,nn1,1920,fic
watch,watch,vvi,1920,fic
sight,sight,nn1,1920,fic
watch,watch,vv0,1920,fic
watch,watch,vvi,1920,fic
white,white,jj,1920,fic
smell,smell,nn1,1920,fic
see,see,vvi,1920,fic
watch,watch,vv0,1920,fic
gray,gray,jj,1920,fic
look,look,vv0,1920,fic
white,white,jj,1920,fic
white,white,jj,1920,fic
ring,ring,nn1,1920,fic
smooth,smooth,jj_vv0@,1920,fic
wet,wet,vvn@_vvd@_jj,1920,fic
wet,wet,jj,1920,fic
dark,dark,jj_nn1,1920,fic
black,black,jj,1920,fic
blue,blue,jj,1920,fic
blue,blue,jj,1920,fic
shadow,shadow,nn1,1920,fic
bright,bright,jj,1920,fic
shadow,shadow,nn1_vv0@,1920,fic
purple,purple,jj,1920,fic
wet,wet,jj,1920,fic
smooth,smooth,jj,1920,fic
pale,pale,jj,1920,fic
black,black,jj,1920,fic
black,black,jj,1920,fic
crimson,crimson,nn1_jj,1920,fic
blue,blue,jj,1920,fic
pink,pink,jj,1920,fic
white,white,jj,1920,fic
white,white,jj,1920,fic
look,look,vv0_nn1,1920,fic
look,look,nn1,1920,fic
silvery,silvery,jj,1920,fic
dim,dim,vv0_jj,1920,fic
white,white,jj,1920,fic
black,black,jj_nn1@,1920,fic
shine,shine,vvi,1920,fic
voice,voice,nn1,1920,fic
song,song,nn1,1920,fic
moonlight,moonlight,nn1,1920,fic
see,see,vvi,1920,fic
scarlet,scarlet,jj,1920,fic
black,black,jj_nn1@,1920,fic
pale,pale,jj,1920,fic
see,see,vvi,1920,fic
green,green,jj_nn1,1920,fic
brown,brown,nn1@_jj,1920,fic
black,black,nn1@_jj,1920,fic
green,green,jj_nn1,1920,fic
brown,brown,jj,1920,fic
black,black,jj_nn1@,1920,fic
sharp,sharp,jj,1920,fic
soft,soft,jj,1920,fic
dark,dark,nn1_jj,1920,fic
dry,dry,jj,1920,fic
shining,shine,jj,1920,fic
wet,wet,jj,1920,fic
see,see,vv0,1920,fic
sound,sound,nn1,1920,fic
green,green,jj,1920,fic
green,green,jj_nn1,1920,fic
whisper,whisper,vv0,1920,fic
shout,shout,nn1_vv0,1920,fic
look,look,vv0,1920,fic
see,see,vvi,1920,fic
bright,bright,jj,1920,fic
song,song,nn1,1920,fic
song,song,nn1,1920,fic
silvery,silvery,jj,1920,fic
white,white,jj,1920,fic
shining,shine,jj,1920,fic
whiteness,whiteness,nn1,1920,fic
look,look,vvi,1920,fic
pink,pink,nn1@_jj,1920,fic
hot,hot,jj,1920,fic
shining,shine,vvg,1920,fic
black,black,jj,1920,fic
smell,smell,vv0,1920,fic
hear,hear,vvi,1920,fic
soft,soft,jj,1920,fic
voice,voice,nn1,1920,fic
dark,dark,nn1_jj,1920,fic
stare,stare,vv0,1920,fic
stare,stare,vv0,1920,fic
yellow,yellow,jj,1920,fic
dark,dark,nn1_jj,1920,fic
whistle,whistle,nn1,1920,fic
see,see,vvi,1920,fic
red,red,jj_nn1,1920,fic
hear,hear,vvi,1920,fic
silence,silence,nn1,1920,fic
see,see,vvi,1920,fic
scream,scream,vv0,1920,fic
scream,scream,vv0,1920,fic
silence,silence,nn1,1920,fic
dark,dark,nn1_jj,1920,fic
dark,dark,jj_nn1,1920,fic
warm,warm,vvi,1920,fic
cold,cold,jj,1920,fic
white,white,jj_nn1@,1920,fic
white,white,jj,1920,fic
silence,silence,nn1,1920,fic
shining,shine,vvg_jj,1920,fic
white,white,jj,1920,fic
shining,shine,vvg,1920,fic
white,white,jj,1920,fic
shining,shine,vvg,1920,fic
black,black,jj,1920,fic
moonlight,moonlight,nn1,1920,fic
creak,creak,vv0,1920,fic
blue,blue,jj,1920,fic
shadow,shadow,nn1,1920,fic
shadow,shadow,nn1,1920,fic
shadow,shadow,nn1,1920,fic
look,look,vvi,1920,fic
shadow,shadow,nn1,1920,fic
black,black,jj,1920,fic
shadow,shadow,nn1,1920,fic
black,black,jj,1920,fic
shadow,shadow,nn1,1920,fic
shadow,shadow,nn1_vv0@,1920,fic
see,see,vvi,1920,fic
shadow,shadow,nn1,1920,fic
stroke,stroke,vvi,1920,fic
black,black,jj,1920,fic
black,black,jj,1920,fic
see,see,vvi,1920,fic
orange,orange,jj_nn1,1920,fic
purple,purple,jj,1920,fic
brown,brown,jj,1920,fic
stroke,stroke,vvi,1920,fic
blue,blue,jj,1920,fic
green,green,jj,1920,fic
yellow,yellow,jj,1920,fic
red,red,jj,1920,fic
red,red,jj,1920,fic
orange,orange,nn1,1920,fic
look,look,vvi,1920,fic
loud,loud,rr_jj,1920,fic
stare,stare,vv0,1920,fic
white,white,jj,1920,fic
burning,burn,jj,1920,fic
red,red,jj_nn1,1920,fic
burning,burning,jj,1920,fic
black,black,jj,1920,fic
cold,cold,jj,1920,fic
wet,wet,jj,1920,fic
hot,hot,jj,1920,fic
talk,talk,vvi,1920,fic
look,look,vv0_nn1,1920,fic
orange,orange,jj_nn1,1920,fic
look,look,vvi,1920,fic
golden,golden,jj,1920,fic
white,white,jj,1920,fic
sweet,sweet,jj,1920,fic
blue,blue,jj,1920,fic
hot,hot,jj,1920,fic
black,black,jj_nn1@,1920,fic
buzz,buzz,fu,1920,fic
look,look,vvi,1920,fic
look,look,vvi,1920,fic
look,look,vvi,1920,fic
black,black,jj,1920,fic
scream,scream,vvi,1920,fic
see,see,vvi,1920,fic
warm,warm,jj,1920,fic
silence,silence,nn1,1920,fic
silence,silence,nn1,1920,fic
purple,purple,nn1@_jj,1920,fic
watch,watch,vv0_nn1,1920,fic
hot,hot,jj,1920,fic
sweet,sweet,jj,1920,fic
song,song,nn1,1920,fic
shining,shining,jj_vvg,1920,fic
wet,wet,jj,1920,fic
red,red,jj_nn1,1920,fic
green,green,jj_nn1,1920,fic
soft,soft,jj,1920,fic
golden,golden,jj,1920,fic
itch,itch,vv0,1920,fic
sweet,sweet,jj_nn1@,1920,fic
reflection,reflection,nn1,1920,fic
vibrant,vibrant,jj,1920,fic
song,song,nn1,1920,fic
shadow,shadow,nn1,1920,fic
shadow,shadow,nn1,1920,fic
white,white,jj,1920,fic
clear,clear,jj,1920,fic
white,white,jj,1920,fic
dark,dark,jj_nn1,1920,fic
dark,dark,nn1_jj,1920,fic
silence,silence,nn1,1920,fic
sound,sound,nn1,1920,fic
stroke,stroke,nn1,1920,fic
gaze,gaze,nn1,1920,fic
voice,voice,nn1,1920,fic
voice,voice,nn1,1920,fic
sight,sight,nn1,1920,fic
eye,eye,nn1,1920,fic
voice,voice,nn1,1920,fic
shade,shade,nn1,1920,fic
thunder,thunder,nn1,1920,fic
silent,silent,jj,1920,fic
shadow,shadow,nn1,1920,fic
tender,tender,jj,1920,fic
glance,glance,nn1,1920,fic
bright,bright,jj,1920,fic
green,green,jj,1920,fic
melody,melody,nn1,1920,fic
look,look,vvi,1920,fic
white,white,jj_nn1@,1920,fic
voice,voice,nn1,1920,fic
see,see,vvi,1920,fic
black,black,nn1@_jj,1920,fic
white,white,jj,1920,fic
echo,echo,nn1,1920,fic
shadow,shadow,nn1_vv0@,1920,fic
