Word,Lemma,POS,Year,Register
look,look,vvi,1960,fic
voice,voice,nn1,1960,fic
dark,dark,jj_nn1,1960,fic
dry,dry,jj,1960,fic
touch,touch,nn1,1960,fic
bright,bright,jj,1960,fic
dark,dark,nn1_jj,1960,fic
warm,warm,jj_vv0@,1960,fic
picture,picture,nn1,1960,fic
see,see,vvi,1960,fic
cold,cold,nn1_jj,1960,fic
cold,cold,nn1_jj,1960,fic
cold,cold,nn1_jj,1960,fic
voice,voice,nn1,1960,fic
silence,silence,nn1,1960,fic
cold,cold,nn1,1960,fic
noisy,noisy,jj,1960,fic
groan,groan,vv0,1960,fic
groan,groan,vvi,1960,fic
talk,talk,nn1,1960,fic
see,see,vvi,1960,fic
eye,eye,nn1,1960,fic
sight,sight,nn1,1960,fic
warmth,warmth,nn1,1960,fic
smell,smell,nn1,1960,fic
blue,blue,jj,1960,fic
sound,sound,vvi,1960,fic
see,see,vvi,1960,fic
see,see,vv0,1960,fic
see,see,vvi,1960,fic
golden,golden,jj,1960,fic
watch,watch,nn1,1960,fic
look,look,vv0,1960,fic
blue,blue,nn1,1960,fic
gray,gray,jj_nn1@,1960,fic
look,look,vvi,1960,fic
silence,silence,nn1,1960,fic
hear,hear,vvi,1960,fic
talk,talk,vvi,1960,fic
see,see,vvi,1960,fic
hot,hot,jj,1960,fic
clear,clear,jj_rr@_vv0@,1960,fic
hear,hear,vv0,1960,fic
look,look,vv0,1960,fic
speak,speak,vv0,1960,fic
clear,clear,jj,1960,fic
speak,speak,vvi,1960,fic
loud,loud,jj,1960,fic
talk,talk,nn1,1960,fic
talk,talk,nn1,1960,fic
silence,silence,nn1,1960,fic
tender,tender,jj,1960,fic
polished,polished,jj_vvn_vvd,1960,fic
talk,talk,nn1,1960,fic
moonlight,moonlight,nn1,1960,fic
see,see,vvi,1960,fic
watch,watch,nn1,1960,fic
silence,silence,nn1,1960,fic
look,look,nn1,1960,fic
dark,dark,jj_nn1,1960,fic
sight,sight,nn1,1960,fic
see,see,vvi,1960,fic
clear,clear,jj,1960,fic
talk,talk,nn1,1960,fic
lute,lute,nn1,1960,fic
blue,blue,jj_nn1@,1960,fic
white,white,jj_nn1@,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
look,look,vvi,1960,fic
see,see,vvi,1960,fic
sight,sight,vv0@_nn1,1960,fic
sight,sight,nn1,1960,fic
look,look,vvi,1960,fic
touch,touch,vvi,1960,fic
touch,touch,vvi,1960,fic
soft,soft,jj,1960,fic
clear,clear,vv0@_jj_rr@,1960,fic
sight,sight,nn1,1960,fic
cold,cold,jj,1960,fic
touch,touch,nn1,1960,fic
touch,touch,vvi,1960,fic
tickle,tickle,vvi,1960,fic
silence,silence,nn1,1960,fic
talk,talk,nn1_vv0,1960,fic
see,see,vvi,1960,fic
black,black,nn1@_jj,1960,fic
black,black,nn1@_jj,1960,fic
gray,gray,nn1@_jj,1960,fic
black,black,jj_nn1@,1960,fic
jingle,jingle,nn1,1960,fic
warmth,warmth,nn1,1960,fic
hear,hear,vvi,1960,fic
see,see,vvi,1960,fic
radiant,radiant,jj,1960,fic
clear,clear,jj,1960,fic
dry,dry,jj,1960,fic
soft,soft,jj,1960,fic
see,see,vvi,1960,fic
look,look,vvi,1960,fic
dense,dense,jj,1960,fic
hear,hear,vvi,1960,fic
voice,voice,nn1,1960,fic
rumble,rumble,nn1,1960,fic
watch,watch,vvi,1960,fic
sing,sing,vvi,1960,fic
sweet,sweet,jj,1960,fic
sweet,sweet,jj,1960,fic
yellow,yellow,jj,1960,fic
sing,sing,vvi,1960,fic
sound,sound,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
bright,bright,jj,1960,fic
sweet,sweet,jj,1960,fic
lute,lute,nn1,1960,fic
scented,scent,vvn_jj,1960,fic
talk,talk,nn1,1960,fic
lute,lute,nn1,1960,fic
scented,scent,vvn,1960,fic
white,white,jj_np1,1960,fic
golden,golden,jj,1960,fic
glint,glint,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
speak,speak,vvi,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
see,see,vvi,1960,fic
lute,lute,nn1,1960,fic
eye,eye,nn1,1960,fic
eye,eye,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
green,green,jj_nn1,1960,fic
lute,lute,nn1,1960,fic
silent,silent,jj,1960,fic
talk,talk,nn1,1960,fic
lute,lute,nn1,1960,fic
speak,speak,vvi,1960,fic
lute,lute,nn1,1960,fic
talk,talk,vvi,1960,fic
voice,voice,nn1,1960,fic
smell,smell,nn1,1960,fic
dry,dry,jj,1960,fic
look,look,vv0,1960,fic
look,look,vv0,1960,fic
look,look,vvi,1960,fic
talk,talk,vvi,1960,fic
talk,talk,vvi,1960,fic
whisper,whisper,vvi,1960,fic
talk,talk,vvi,1960,fic
talk,talk,vvi,1960,fic
sound,sound,nn1,1960,fic
dry,dry,jj,1960,fic
tune,tune,nn1,1960,fic
sound,sound,nn1,1960,fic
white,white,jj,1960,fic
spicy,spicy,jj,1960,fic
talk,talk,vvi,1960,fic
see,see,vv0,1960,fic
look,look,vv0,1960,fic
see,see,vv0,1960,fic
hear,hear,vvi,1960,fic
talk,talk,vv0_nn1,1960,fic
yellow,yellow,nn1@_jj,1960,fic
wet,wet,jj,1960,fic
white,white,jj,1960,fic
dry,dry,jj,1960,fic
speak,speak,vvi,1960,fic
talk,talk,vvi,1960,fic
talk,talk,nn1,1960,fic
talk,talk,nn1,1960,fic
speak,speak,vv0,1960,fic
talk,talk,nn1,1960,fic
see,see,vvi,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
hear,hear,vvi,1960,fic
lute,lute,nn1,1960,fic
look,look,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
thunder,thunder,nn1,1960,fic
silence,silence,nn1,1960,fic
silence,silence,nn1,1960,fic
clear,clear,jj_rr@,1960,fic
see,see,vvi,1960,fic
lute,lute,nn1,1960,fic
red,red,jj,1960,fic
piano,piano,nn1,1960,fic
hymn,hymn,nn1,1960,fic
eye,eye,nn1,1960,fic
dry,dry,jj_vv0@,1960,fic
talk,talk,nn1,1960,fic
talk,talk,nn1,1960,fic
glance,glance,nn1,1960,fic
silent,silent,jj,1960,fic
hear,hear,vvi,1960,fic
hear,hear,vvi,1960,fic
tender,tender,jj_vv0@,1960,fic
sound,sound,nn1,1960,fic
cold,cold,jj,1960,fic
talk,talk,vvi,1960,fic
see,see,vvi,1960,fic
look,look,nn1,1960,fic
polished,polish,vvn_vvd_jj,1960,fic
sight,sight,nn1,1960,fic
ring,ring,nn1,1960,fic
white,white,jj,1960,fic
image,image,nn1,1960,fic
see,see,vvi,1960,fic
bitterness,bitterness,nn1,1960,fic
silent,silent,jj,1960,fic
white,white,jj_nn1@,1960,fic
colored,color,vvd,1960,fic
talk,talk,vvi,1960,fic
dark,dark,nn1_jj,1960,fic
see,see,vvi,1960,fic
gaze,gaze,nn1,1960,fic
colorless,colorless,jj_np1@,1960,fic
rigid,rigid,jj,1960,fic
red,red,jj_nn1,1960,fic
smell,smell,vvi,1960,fic
picture,picture,nn1,1960,fic
yellow,yellow,jj,1960,fic
moonlight,moonlight,nn1,1960,fic
white,white,jj,1960,fic
look,look,vv0,1960,fic
eye,eye,nn1,1960,fic
see,see,vvi,1960,fic
sight,sight,nn1,1960,fic
sharp,sharp,jj,1960,fic
voice,voice,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
music,music,nn1,1960,fic
hear,hear,vvi,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
lute,lute,nn1,1960,fic
sight,sight,nn1,1960,fic
eye,eye,nn1,1960,fic
lute,lute,nn1,1960,fic
speak,speak,vvi,1960,fic
hear,hear,vvi,1960,fic
speak,speak,vvi,1960,fic
lute,lute,nn1,1960,fic
sweet,sweet,jj,1960,fic
bitter,bitter,jj,1960,fic
sweet,sweet,np1@_jj,1960,fic
drum,drum,vvi,1960,fic
colored,color,vvd_vvn@,1960,fic
yellow,yellow,jj,1960,fic
look,look,vvi,1960,fic
sweet,sweet,np1@_jj,1960,fic
glance,glance,nn1,1960,fic
clear,clear,jj_rr@,1960,fic
look,look,nn1,1960,fic
clear,clear,jj,1960,fic
look,look,nn1,1960,fic
sight,sight,nn1,1960,fic
listen,listen,vvi,1960,fic
wet,wet,jj,1960,fic
whiteness,whiteness,nn1,1960,fic
silence,silence,nn1,1960,fic
sweet,sweet,jj,1960,fic
fragrance,fragrance,nn1,1960,fic
scent,scent,nn1,1960,fic
green,green,jj,1960,fic
smell,smell,nn1,1960,fic
scent,scent,nn1,1960,fic
burning,burn,vvg_jj,1960,fic
sweet,sweet,jj,1960,fic
fragrance,fragrance,nn1,1960,fic
whiteness,whiteness,nn1,1960,fic
hear,hear,vvi,1960,fic
bell,bell,nn1,1960,fic
ring,ring,nn1,1960,fic
stroke,stroke,nn1,1960,fic
dry,dry,jj,1960,fic
smell,smell,vvi,1960,fic
wet,wet,jj,1960,fic
fragrance,fragrance,nn1,1960,fic
smell,smell,vvi,1960,fic
scent,scent,nn1,1960,fic
smell,smell,vvi,1960,fic
silent,silent,jj,1960,fic
talk,talk,vv0_nn1,1960,fic
stroke,stroke,nn1,1960,fic
brown,brown,jj,1960,fic
black,black,np1@_jj,1960,fic
see,see,vvi,1960,fic
red,red,jj_nn1,1960,fic
burning,burning,jj_nn1%,1960,fic
white,white,nn1@_jj,1960,fic
look,look,vv0,1960,fic
orange,orange,jj_nn1,1960,fic
dark,dark,jj_nn1,1960,fic
tender,tender,jj,1960,fic
hear,hear,vv0,1960,fic
look,look,vv0,1960,fic
look,look,vv0,1960,fic
see,see,vv0,1960,fic
look,look,vv0,1960,fic
yellow,yellow,nn1@_jj,1960,fic
see,see,vvi,1960,fic
warmth,warmth,nn1,1960,fic
dark,dark,nn1_jj,1960,fic
hot,hot,jj,1960,fic
look,look,vvi,1960,fic
see,see,vvi,1960,fic
warmth,warmth,nn1,1960,fic
look,look,vv0,1960,fic
white,white,jj,1960,fic
hot,hot,jj,1960,fic
white,white,jj,1960,fic
smell,smell,nn1,1960,fic
look,look,nn1,1960,fic
hear,hear,vvi,1960,fic
look,look,nn1,1960,fic
see,see,vv0,1960,fic
organ,organ,nn1,1960,fic
pink,pink,jj,1960,fic
look,look,nn1,1960,fic
leer,leer,nn1,1960,fic
sweet,sweet,jj_nn1@,1960,fic
sound,sound,nn1,1960,fic
white,white,jj,1960,fic
sight,sight,nn1,1960,fic
behold,behold,vvi,1960,fic
sight,sight,nn1,1960,fic
behold,behold,vvi,1960,fic
sweetness,sweetness,nn1,1960,fic
see,see,vvi,1960,fic
sight,sight,nn1,1960,fic
bitter,bitter,nn1@_jj,1960,fic
sweet,sweet,jj_nn1@,1960,fic
sweetness,sweetness,nn1,1960,fic
see,see,vvi,1960,fic
moonlight,moonlight,nn1,1960,fic
speak,speak,vv0,1960,fic
listen,listen,vvi,1960,fic
hear,hear,vv0,1960,fic
talk,talk,vvi,1960,fic
white,white,jj,1960,fic
heat,heat,nn1,1960,fic
dark,dark,nn1_jj,1960,fic
look,look,vvi,1960,fic
look,look,vvi,1960,fic
burning,burn,vvg,1960,fic
cold,cold,jj_nn1,1960,fic
see,see,vv0,1960,fic
see,see,vv0,1960,fic
stare,stare,vvi,1960,fic
warm,warm,jj,1960,fic
loud,loud,jj_rr,1960,fic
see,see,vvi,1960,fic
warmth,warmth,nn1,1960,fic
look,look,nn1_vv0,1960,fic
dark,dark,jj_nn1,1960,fic
touch,touch,nn1,1960,fic
soft,soft,jj,1960,fic
hear,hear,vvi,1960,fic
sound,sound,nn1,1960,fic
shining,shine,vvg,1960,fic
sweet,sweet,jj_nn1@,1960,fic
song,song,nn1,1960,fic
sound,sound,nn1,1960,fic
whisper,whisper,vvi,1960,fic
voice,voice,nn1,1960,fic
watch,watch,nn1,1960,fic
orange,orange,jj_nn1,1960,fic
warm,warm,jj,1960,fic
warm,warm,jj,1960,fic
