Word,Lemma,POS,Year,Register
peep,peep,vvi,1870,fic
see,see,vvi,1870,fic
sight,sight,nn1,1870,fic
smooth,smooth,jj,1870,fic
dark,dark,jj_nn1,1870,fic
green,green,jj,1870,fic
sight,sight,nn1,1870,fic
eye,eye,nn1,1870,fic
white,white,jj_nn1@,1870,fic
purple,purple,jj,1870,fic
yellow,yellow,jj,1870,fic
blue,blue,jj,1870,fic
sight,sight,nn1,1870,fic
blonde,blonde,jj,1870,fic
eye,eye,nn1,1870,fic
black,black,jj,1870,fic
yellow,yellow,jj,1870,fic
blue,blue,jj,1870,fic
red,red,jj_nn1,1870,fic
silence,silence,nn1,1870,fic
brown,brown,jj,1870,fic
pink,pink,jj,1870,fic
gray,gray,jj,1870,fic
blue,blue,jj,1870,fic
spicy,spicy,jj,1870,fic
fragrance,fragrance,nn1,1870,fic
bright,bright,jj,1870,fic
brown,brown,jj,1870,fic
shiny,shiny,jj,1870,fic
pink,pink,jj,1870,fic
purple,purple,jj_nn1@,1870,fic
green,green,jj,1870,fic
sight,sight,nn1,1870,fic
look,look,vv0_nn1,1870,fic
brown,brown,jj,1870,fic
yellow,yellow,jj,1870,fic
black,black,jj_nn1@,1870,fic
red,red,jj_nn1,1870,fic
pink,pink,jj,1870,fic
see,see,vvi,1870,fic
blue,blue,jj,1870,fic
whisper,whisper,nn1,1870,fic
look,look,vvi,1870,fic
see,see,vvi,1870,fic
see,see,vvi,1870,fic
green,green,jj_nn1,1870,fic
sound,sound,nn1,1870,fic
sight,sight,nn1,1870,fic
see,see,vvi,1870,fic
black,black,jj,1870,fic
red,red,jj_nn1,1870,fic
pink,pink,jj,1870,fic
delicious,delicious,jj,1870,fic
see,see,vvi,1870,fic
see,see,vvi,1870,fic
touch,touch,vvi,1870,fic
wet,wet,jj,1870,fic
see,see,vvi,1870,fic
voice,voice,nn1,1870,fic
dark,dark,nn1_jj,1870,fic
speak,speak,vvi,1870,fic
look,look,nn1_vv0,1870,fic
sight,sight,nn1,1870,fic
dark,dark,jj_nn1,1870,fic
hear,hear,vvi,1870,fic
look,look,vvi,1870,fic
red,red,jj_nn1,1870,fic
look,look,nn1,1870,fic
black,black,jj,1870,fic
clear,clear,jj,1870,fic
look,look,vvi,1870,fic
look,look,vv0,1870,fic
see,see,vvi,1870,fic
blue,blue,jj,1870,fic
white,white,jj,1870,fic
pink,pink,jj,1870,fic
listen,listen,vvi,1870,fic
dumb,dumb,jj,1870,fic
yellow,yellow,jj,1870,fic
white,white,jj,1870,fic
fondle,fondle,vvi,1870,fic
blue,blue,jj,1870,fic
white,white,jj,1870,fic
sound,sound,nn1,1870,fic
smooth,smooth,jj,1870,fic
stroke,stroke,nn1,1870,fic
see,see,vvi,1870,fic
brown,brown,jj,1870,fic
green,green,jj,1870,fic
white,white,jj,1870,fic
ringing,ring,vvg,1870,fic
bright,bright,jj,1870,fic
voice,voice,nn1,1870,fic
sharp,sharp,jj,1870,fic
glance,glance,nn1,1870,fic
transparent,transparent,jj,1870,fic
stroke,stroke,nn1,1870,fic
sound,sound,nn1,1870,fic
brown,brown,jj_nn1@,1870,fic
yellow,yellow,jj,1870,fic
picture,picture,nn1,1870,fic
