Word,Lemma,POS,Year,Register
white,white,jj_nn1@,1980,fic
image,image,nn1,1980,fic
see,see,vvi,1980,fic
see,see,vvi,1980,fic
look,look,vvi,1980,fic
look,look,vvi,1980,fic
gaze,gaze,nn1,1980,fic
voice,voice,nn1,1980,fic
voice,voice,nn1,1980,fic
voice,voice,nn1,1980,fic
talk,talk,vvi,1980,fic
white,white,jj,1980,fic
picture,picture,nn1,1980,fic
see,see,vvi,1980,fic
sound,sound,vvi,1980,fic
look,look,vvi,1980,fic
speak,speak,vvi,1980,fic
see,see,vvi,1980,fic
see,see,vvi,1980,fic
see,see,vvi,1980,fic
shiny,shiny,jj,1980,fic
listen,listen,vv0,1980,fic
sound,sound,vv0@,1980,fic
see,see,vvi,1980,fic
see,see,vvi,1980,fic
hot,hot,jj,1980,fic
look,look,vv0,1980,fic
look,look,vvi,1980,fic
see,see,vvi,1980,fic
talk,talk,nn1_vv0,1980,fic
look,look,vv0,1980,fic
hot,hot,jj,1980,fic
squeak,squeak,nn1,1980,fic
talk,talk,vvi,1980,fic
see,see,vvi,1980,fic
burning,burning,jj,1980,fic
hot,hot,jj,1980,fic
see,see,vvi,1980,fic
see,see,vv0,1980,fic
hot,hot,rr%_jj,1980,fic
white,white,jj,1980,fic
song,song,nn1,1980,fic
hot,hot,jj,1980,fic
heat,heat,nn1,1980,fic
sound,sound,vvi,1980,fic
cold,cold,nn1_jj,1980,fic
see,see,vvi,1980,fic
blue,blue,jj,1980,fic
see,see,vvi,1980,fic
dumb,dumb,jj,1980,fic
black,black,jj,1980,fic
white,white,jj_nn1@,1980,fic
see,see,vvi,1980,fic
sound,sound,vv0@,1980,fic
hear,hear,vv0,1980,fic
talk,talk,vvi,1980,fic
shining,shining,jj_vvg,1980,fic
blue,blue,np1,1980,fic
look,look,vvi,1980,fic
blue,blue,np1,1980,fic
talk,talk,vvi,1980,fic
talk,talk,vvi,1980,fic
blue,blue,jj,1980,fic
orange,orange,nn1,1980,fic
green,green,jj,1980,fic
black,black,jj,1980,fic
wet,wet,jj,1980,fic
see,see,vvi,1980,fic
black,black,jj_nn1@,1980,fic
hot,hot,jj,1980,fic
picture,picture,nn1,1980,fic
picture,picture,nn1,1980,fic
picture,picture,nn1,1980,fic
color,color,nn1,1980,fic
pink,pink,jj,1980,fic
picture,picture,nn1,1980,fic
blue,blue,np1,1980,fic
talk,talk,vv0,1980,fic
talk,talk,vvi,1980,fic
talk,talk,vvi,1980,fic
talk,talk,vv0,1980,fic
talk,talk,vv0,1980,fic
piano,piano,nn1,1980,fic
orchestra,orchestra,nn1,1980,fic
music,music,nn1,1980,fic
music,music,nn1,1980,fic
music,music,nn1,1980,fic
music,music,nn1,1980,fic
white,white,jj,1980,fic
loud,loud,rr,1980,fic
loud,loud,rr,1980,fic
hear,hear,vvi,1980,fic
hot,hot,jj,1980,fic
look,look,vvi,1980,fic
warm,warm,jj_vv0@,1980,fic
white,white,jj,1980,fic
see,see,vvi,1980,fic
talk,talk,vvi,1980,fic
sound,sound,nn1,1980,fic
cold,cold,jj_nn1,1980,fic
wrinkled,wrinkle,vvn@_vvd@_jj,1980,fic
see,see,vv0,1980,fic
see,see,vv0,1980,fic
look,look,vvi,1980,fic
listen,listen,vv0,1980,fic
see,see,vvi,1980,fic
see,see,vvi,1980,fic
see,see,vvi,1980,fic
look,look,vvi,1980,fic
burning,burning,jj,1980,fic
picture,picture,nn1,1980,fic
picture,picture,nn1,1980,fic
