Word,Lemma,POS,Year,Register
eye,eye,nn1,1930,fic
sight,sight,nn1,1930,fic
white,white,jj,1930,fic
gaze,gaze,nn1,1930,fic
black,black,jj,1930,fic
pale,pale,jj,1930,fic
gray,gray,jj,1930,fic
gray,gray,jj,1930,fic
touch,touch,vvi,1930,fic
scarlet,scarlet,jj_nn1@,1930,fic
yellow,yellow,jj,1930,fic
blue,blue,jj,1930,fic
dark,dark,jj_nn1,1930,fic
scream,scream,nn1,1930,fic
yellow,yellow,jj_nn1@,1930,fic
purple,purple,jj,1930,fic
red,red,jj_nn1,1930,fic
golden,golden,jj,1930,fic
red,red,jj_nn1,1930,fic
white,white,jj,1930,fic
look,look,nn1,1930,fic
voice,voice,nn1,1930,fic
sweet,sweet,jj_nn1@,1930,fic
moonlight,moonlight,nn1_vv0@,1930,fic
gray,gray,jj,1930,fic
red,red,jj,1930,fic
see,see,vvi,1930,fic
green,green,jj_nn1,1930,fic
pink,pink,jj_nn1@,1930,fic
soft,soft,jj,1930,fic
muddy,muddy,jj,1930,fic
see,see,vvi,1930,fic
white,white,jj,1930,fic
sweet,sweet,jj_nn1@,1930,fic
clink,clink,nn1,1930,fic
piano,piano,nn1,1930,fic
sweet,sweet,jj,1930,fic
sound,sound,nn1,1930,fic
rustle,rustle,nn1,1930,fic
dry,dry,jj,1930,fic
watch,watch,nn1_vv0,1930,fic
cold,cold,jj,1930,fic
loud,loud,jj_rr,1930,fic
voice,voice,nn1,1930,fic
voice,voice,nn1,1930,fic
tinkle,tinkle,nn1,1930,fic
sound,sound,nn1,1930,fic
dim,dim,jj,1930,fic
dry,dry,vvi,1930,fic
sharp,sharp,jj_rr@,1930,fic
white,white,jj,1930,fic
hot,hot,jj,1930,fic
white,white,jj,1930,fic
sunny,sunny,jj,1930,fic
sound,sound,nn1,1930,fic
white,white,jj,1930,fic
voice,voice,nn1,1930,fic
white,white,jj,1930,fic
white,white,jj,1930,fic
eye,eye,nn1,1930,fic
crack,crack,nn1,1930,fic
gray,gray,nn1@_jj,1930,fic
white,white,jj,1930,fic
look,look,vvi,1930,fic
cold,cold,jj_nn1,1930,fic
black,black,jj,1930,fic
behold,behold,vvi,1930,fic
red,red,jj,1930,fic
brilliant,brilliant,jj,1930,fic
behold,behold,vv0,1930,fic
see,see,vvi,1930,fic
voice,voice,nn1,1930,fic
red,red,jj,1930,fic
burning,burning,jj,1930,fic
vibrant,vibrant,jj,1930,fic
voice,voice,nn1,1930,fic
smooth,smooth,jj,1930,fic
eye,eye,nn1,1930,fic
see,see,vvi,1930,fic
rough,rough,jj,1930,fic
talk,talk,vvi,1930,fic
brilliant,brilliant,jj,1930,fic
rough,rough,jj,1930,fic
color,color,nn1_vv0@,1930,fic
dazzling,dazzling,jj,1930,fic
black,black,jj,1930,fic
hoarse,hoarse,jj,1930,fic
clamor,clamor,nn1,1930,fic
black,black,jj,1930,fic
smell,smell,nn1,1930,fic
hot,hot,jj,1930,fic
clear,clear,vvi,1930,fic
black,black,jj,1930,fic
red,red,jj_nn1,1930,fic
black,black,jj,1930,fic
black,black,jj,1930,fic
song,song,nn1,1930,fic
translucent,translucent,jj,1930,fic
green,green,nn1,1930,fic
perfumed,perfumed,jj,1930,fic
golden,golden,jj,1930,fic
see,see,vvi,1930,fic
white,white,jj,1930,fic
look,look,nn1,1930,fic
red,red,jj_nn1,1930,fic
white,white,jj,1930,fic
see,see,vv0,1930,fic
silent,silent,jj,1930,fic
shining,shining,jj_vvg,1930,fic
pale,pale,jj,1930,fic
gray,gray,jj,1930,fic
gaze,gaze,nn1,1930,fic
black,black,jj,1930,fic
black,black,jj_nn1@,1930,fic
brilliant,brilliant,jj,1930,fic
shade,shade,nn1,1930,fic
music,music,nn1,1930,fic
polished,polish,vvn,1930,fic
bright,bright,jj,1930,fic
voice,voice,nn1,1930,fic
look,look,vvi,1930,fic
red,red,jj,1930,fic
glance,glance,nn1,1930,fic
picture,picture,nn1,1930,fic
roar,roar,nn1,1930,fic
black,black,jj,1930,fic
black,black,jj,1930,fic
black,black,jj,1930,fic
black,black,jj,1930,fic
brilliant,brilliant,jj,1930,fic
