Word,Lemma,POS,Year,Register
soft,soft,jj,1860,fic
green,green,jj_nn1,1860,fic
wet,wet,jj_vvd@_vv0@,1860,fic
look,look,vvi,1860,fic
stare,stare,vvi,1860,fic
ringing,ring,nn1,1860,fic
warmth,warmth,nn1,1860,fic
glance,glance,nn1_vv0,1860,fic
sweet,sweet,jj,1860,fic
see,see,vvi,1860,fic
talk,talk,nn1,1860,fic
shadow,shadow,nn1,1860,fic
voice,voice,nn1,1860,fic
pale,pale,jj,1860,fic
colorless,colorless,jj,1860,fic
cold,cold,jj,1860,fic
cold,cold,jj_rr%,1860,fic
see,see,vvi,1860,fic
see,see,vvi,1860,fic
clear,clear,jj_rr@,1860,fic
warm,warm,jj_vv0@,1860,fic
speak,speak,vvi,1860,fic
glance,glance,nn1,1860,fic
silence,silence,nn1,1860,fic
tender,tender,jj_vv0@_nn1@,1860,fic
cold,cold,rr%_jj,1860,fic
silent,silent,jj,1860,fic
sweet,sweet,jj,1860,fic
cold,cold,jj_nn1,1860,fic
look,look,vvi,1860,fic
sweetness,sweetness,nn1,1860,fic
sweet,sweet,jj,1860,fic
blue,blue,jj,1860,fic
hear,hear,vvi,1860,fic
color,color,nn1,1860,fic
talk,talk,nn1,1860,fic
look,look,vv0,1860,fic
glance,glance,nn1,1860,fic
clear,clear,jj,1860,fic
voice,voice,nn1,1860,fic
look,look,nn1,1860,fic
voice,voice,nn1,1860,fic
voice,voice,nn1,1860,fic
voice,voice,nn1,1860,fic
dark,dark,nn1_jj,1860,fic
dark,dark,nn1_jj,1860,fic
look,look,vvi,1860,fic
noise,noise,nn1,1860,fic
talk,talk,vvi,1860,fic
image,image,nn1,1860,fic
listen,listen,vv0,1860,fic
hear,hear,vvi,1860,fic
touch,touch,vvi,1860,fic
see,see,vvi,1860,fic
see,see,vvi,1860,fic
talk,talk,vv0_nn1,1860,fic
hear,hear,vvi,1860,fic
burning,burn,vvg,1860,fic
glimpse,glimpse,nn1,1860,fic
speak,speak,vvi,1860,fic
speak,speak,vvi,1860,fic
talk,talk,nn1_vv0,1860,fic
silent,silent,jj,1860,fic
dazzling,dazzle,vvg@,1860,fic
brilliant,brilliant,jj,1860,fic
dark,dark,jj,1860,fic
dark,dark,jj,1860,fic
brown,brown,jj_nn1@,1860,fic
see,see,vv0,1860,fic
voice,voice,nn1,1860,fic
see,see,vv0,1860,fic
see,see,vv0,1860,fic
see,see,vv0,1860,fic
voice,voice,nn1,1860,fic
look,look,nn1,1860,fic
look,look,nn1,1860,fic
shade,shade,nn1,1860,fic
white,white,jj,1860,fic
hymn,hymn,nn1,1860,fic
black,black,jj_nn1@,1860,fic
voice,voice,nn1,1860,fic
voice,voice,nn1,1860,fic
voice,voice,nn1,1860,fic
touch,touch,nn1,1860,fic
voice,voice,nn1,1860,fic
silence,silence,nn1,1860,fic
cold,cold,jj,1860,fic
see,see,vv0,1860,fic
voice,voice,nn1,1860,fic
gaze,gaze,nn1,1860,fic
gaze,gaze,nn1,1860,fic
