Word,Lemma,POS,Year,Register
sweet,sweet,jj_np1@,1830,fic
sweet,sweet,jj_np1@,1830,fic
hot,hot,jj,1830,fic
dark,dark,jj_nn1,1830,fic
eye,eye,nn1,1830,fic
white,white,jj_nn1@,1830,fic
look,look,nn1,1830,fic
audible,audible,jj,1830,fic
clear,clear,jj,1830,fic
green,green,jj,1830,fic
brown,brown,jj_vv0%_nn1@,1830,fic
sunny,sunny,jj,1830,fic
echo,echo,vvi,1830,fic
silence,silence,nn1,1830,fic
clear,clear,jj,1830,fic
white,white,jj,1830,fic
loud,loud,jj,1830,fic
gaze,gaze,nn1,1830,fic
gaze,gaze,nn1,1830,fic
eye,eye,nn1,1830,fic
eye,eye,nn1,1830,fic
shade,shade,nn1,1830,fic
silence,silence,nn1,1830,fic
clarion,clarion,nn1,1830,fic
eye,eye,nn1,1830,fic
resound,resound,nn1_vv0,1830,fic
voice,voice,nn1,1830,fic
shadow,shadow,nn1,1830,fic
dark,dark,nn1_jj,1830,fic
sweet,sweet,jj,1830,fic
hear,hear,vvi,1830,fic
silent,silent,jj,1830,fic
murmur,murmur,vv0,1830,fic
watch,watch,vvi,1830,fic
hear,hear,vv0,1830,fic
brilliant,brilliant,jj,1830,fic
refreshing,refreshing,jj,1830,fic
behold,behold,vvi,1830,fic
image,image,nn1,1830,fic
dark,dark,jj_nn1,1830,fic
murmur,murmur,nn1,1830,fic
red,red,jj_nn1,1830,fic
gleam,gleam,nn1,1830,fic
sharp,sharp,jj,1830,fic
green,green,jj_nn1,1830,fic
sunny,sunny,jj,1830,fic
look,look,vv0_nn1,1830,fic
warm,warm,jj,1830,fic
behold,behold,vv0,1830,fic
hear,hear,vv0,1830,fic
harshness,harshness,nn1,1830,fic
hear,hear,vv0,1830,fic
see,see,vvi,1830,fic
hear,hear,vvi,1830,fic
clear,clear,jj,1830,fic
harshness,harshness,nn1,1830,fic
see,see,vvi,1830,fic
rigid,rigid,jj,1830,fic
dark,dark,nn1_jj,1830,fic
hearken,hearken,vvi,1830,fic
hear,hear,vvi,1830,fic
hear,hear,vv0,1830,fic
look,look,vv0,1830,fic
see,see,vvi,1830,fic
bright,bright,jj,1830,fic
thunder,thunder,nn1,1830,fic
see,see,vv0,1830,fic
thunder,thunder,nn1,1830,fic
voice,voice,nn1,1830,fic
voice,voice,nn1,1830,fic
see,see,vv0,1830,fic
behold,behold,vv0,1830,fic
tender,tender,jj,1830,fic
dark,dark,jj_nn1,1830,fic
white,white,jj,1830,fic
white,white,jj,1830,fic
speak,speak,vvi,1830,fic
glance,glance,nn1,1830,fic
behold,behold,vvi,1830,fic
see,see,vvi,1830,fic
behold,behold,vv0,1830,fic
white,white,jj,1830,fic
white,white,jj,1830,fic
eye,eye,nn1,1830,fic
white,white,jj,1830,fic
eye,eye,nn1,1830,fic
shine,shine,vv0,1830,fic
see,see,vvi,1830,fic
voice,voice,nn1,1830,fic
sound,sound,nn1,1830,fic
red,red,jj_nn1,1830,fic
warm,warm,jj,1830,fic
silent,silent,jj,1830,fic
look,look,vvi,1830,fic
see,see,vv0,1830,fic
see,see,vv0,1830,fic
tender,tender,jj,1830,fic
picture,picture,nn1,1830,fic
stroke,stroke,nn1,1830,fic
warm,warm,jj,1830,fic
soft,soft,jj,1830,fic
tender,tender,vv0@,1830,fic
sound,sound,nn1,1830,fic
disgusting,disgusting,jj,1830,fic
hear,hear,vv0,1830,fic
soft,soft,jj,1830,fic
red,red,jj_nn1,1830,fic
thunder,thunder,nn1,1830,fic
music,music,nn1,1830,fic
look,look,vv0_nn1,1830,fic
speak,speak,vvi,1830,fic
look,look,nn1,1830,fic
white,white,jj,1830,fic
burning,burn,jj_vvg,1830,fic
gray,gray,np1_jj,1830,fic
gray,gray,np1,1830,fic
ring,ring,nn1,1830,fic
speak,speak,vv0,1830,fic
see,see,vvi,1830,fic
soft,soft,jj,1830,fic
sweet,sweet,jj,1830,fic
brilliant,brilliant,jj,1830,fic
cold,cold,nn1_jj,1830,fic
brilliant,brilliant,jj,1830,fic
glare,glare,nn1,1830,fic
pale,pale,jj,1830,fic
sonorous,sonorous,jj,1830,fic
sight,sight,nn1,1830,fic
sweet,sweet,jj,1830,fic
look,look,vv0_nn1,1830,fic
sweet,sweet,jj,1830,fic
eye,eye,nn1,1830,fic
delicious,delicious,jj,1830,fic
loud,loud,jj_rr,1830,fic
shout,shout,nn1,1830,fic
eye,eye,nn1,1830,fic
clear,clear,vvi,1830,fic
eye,eye,nn1,1830,fic
soft,soft,jj,1830,fic
smooth,smooth,jj,1830,fic
see,see,vvi,1830,fic
rigid,rigid,jj,1830,fic
eye,eye,nn1,1830,fic
warm,warm,vvi,1830,fic
cold,cold,nn1_jj,1830,fic
red,red,jj,1830,fic
bitter,bitter,jj,1830,fic
dark,dark,jj_nn1,1830,fic
voice,voice,nn1,1830,fic
white,white,jj,1830,fic
sight,sight,nn1,1830,fic
sound,sound,nn1,1830,fic
glance,glance,nn1,1830,fic
see,see,vv0,1830,fic
see,see,vv0,1830,fic
black,black,jj_nn1@,1830,fic
wrinkled,wrinkled,jj_vvn@,1830,fic
clear,clear,vv0,1830,fic
silence,silence,nn1,1830,fic
speak,speak,vvi,1830,fic
look,look,vvi,1830,fic
cold,cold,jj_nn1,1830,fic
bitter,bitter,jj,1830,fic
reflection,reflection,nn1,1830,fic
tender,tender,jj,1830,fic
eye,eye,nn1,1830,fic
see,see,vvi,1830,fic
speak,speak,vv0,1830,fic
speak,speak,vv0,1830,fic
speak,speak,vv0,1830,fic
speak,speak,vv0,1830,fic
hear,hear,vvi,1830,fic
cold,cold,jj,1830,fic
sound,sound,nn1,1830,fic
speak,speak,vvi,1830,fic
sight,sight,nn1,1830,fic
see,see,vvi,1830,fic
sight,sight,nn1,1830,fic
eye,eye,nn1,1830,fic
audible,audible,jj,1830,fic
see,see,vv0,1830,fic
white,white,jj,1830,fic
yellow,yellow,jj,1830,fic
look,look,nn1,1830,fic
look,look,vvi,1830,fic
see,see,vvi,1830,fic
see,see,vvi,1830,fic
speak,speak,vvi,1830,fic
glare,glare,nn1,1830,fic
brilliant,brilliant,jj,1830,fic
dazzling,dazzling,jj_vvg@,1830,fic
obscurity,obscurity,nn1,1830,fic
sour,sour,jj,1830,fic
sweetness,sweetness,nn1,1830,fic
tender,tender,jj,1830,fic
clear,clear,jj,1830,fic
stroke,stroke,nn1_vv0,1830,fic
polished,polished,jj,1830,fic
sweet,sweet,jj,1830,fic
fragrance,fragrance,nn1,1830,fic
look,look,vv0,1830,fic
dark,dark,jj_nn1,1830,fic
dark,dark,jj,1830,fic
look,look,vvi,1830,fic
sweet,sweet,jj,1830,fic
voice,voice,nn1,1830,fic
eye,eye,nn1,1830,fic
bright,bright,jj,1830,fic
silence,silence,nn1,1830,fic
leer,leer,nn1,1830,fic
clear,clear,jj,1830,fic
see,see,vv0,1830,fic
glance,glance,nn1,1830,fic
eye,eye,nn1,1830,fic
talk,talk,nn1_vv0,1830,fic
bell,bell,nn1,1830,fic
eye,eye,nn1,1830,fic
hear,hear,vvi,1830,fic
clear,clear,jj,1830,fic
see,see,vvi,1830,fic
gray,gray,jj,1830,fic
eye,eye,nn1,1830,fic
clear,clear,jj,1830,fic
glance,glance,nn1,1830,fic
audible,audible,jj,1830,fic
eye,eye,nn1,1830,fic
heat,heat,nn1,1830,fic
voice,voice,nn1,1830,fic
speak,speak,vvi,1830,fic
voice,voice,nn1,1830,fic
eye,eye,nn1,1830,fic
sweet,sweet,jj,1830,fic
voice,voice,nn1,1830,fic
groan,groan,nn1,1830,fic
see,see,vvi,1830,fic
eye,eye,nn1,1830,fic
noise,noise,nn1,1830,fic
see,see,vvi,1830,fic
glance,glance,nn1,1830,fic
eye,eye,nn1,1830,fic
voice,voice,nn1,1830,fic
look,look,nn1_vv0,1830,fic
voice,voice,nn1,1830,fic
speak,speak,vvi,1830,fic
sound,sound,nn1,1830,fic
eye,eye,nn1,1830,fic
silence,silence,nn1_vv0@,1830,fic
vivid,vivid,jj,1830,fic
eye,eye,nn1,1830,fic
burning,burning,jj,1830,fic
taste,taste,nn1,1830,fic
shadow,shadow,nn1,1830,fic
eye,eye,nn1,1830,fic
shadow,shadow,nn1,1830,fic
speak,speak,vv0,1830,fic
speak,speak,vvi,1830,fic
voice,voice,nn1,1830,fic
bell,bell,nn1,1830,fic
see,see,vv0,1830,fic
see,see,vv0,1830,fic
look,look,nn1,1830,fic
warmth,warmth,nn1,1830,fic
see,see,vv0,1830,fic
glance,glance,nn1,1830,fic
bitter,bitter,jj,1830,fic
speak,speak,vv0,1830,fic
tender,tender,jj_nn1@,1830,fic
brilliant,brilliant,jj,1830,fic
picture,picture,nn1,1830,fic
blue,blue,jj,1830,fic
eye,eye,nn1,1830,fic
golden,golden,jj,1830,fic
deaf,deaf,jj,1830,fic
dumb,dumb,jj,1830,fic
taste,taste,nn1,1830,fic
coldness,coldness,nn1,1830,fic
image,image,nn1,1830,fic
talk,talk,vvi,1830,fic
soft,soft,jj,1830,fic
clear,clear,jj,1830,fic
green,green,jj_nn1,1830,fic
smooth,smooth,jj_vv0@,1830,fic
look,look,vv0,1830,fic
look,look,vvi,1830,fic
see,see,vvi,1830,fic
delicious,delicious,jj,1830,fic
eye,eye,nn1,1830,fic
tender,tender,vvi,1830,fic
see,see,vv0,1830,fic
see,see,vv0,1830,fic
shade,shade,nn1,1830,fic
voice,voice,nn1,1830,fic
eye,eye,nn1,1830,fic
talk,talk,vvi,1830,fic
burning,burning,jj,1830,fic
sight,sight,nn1,1830,fic
bright,bright,jj,1830,fic
look,look,vv0,1830,fic
dim,dim,jj,1830,fic
eye,eye,nn1,1830,fic
bright,bright,jj,1830,fic
see,see,vvi,1830,fic
gray,gray,nn1@_jj,1830,fic
shining,shine,vvg_jj,1830,fic
bright,bright,jj,1830,fic
speak,speak,vv0,1830,fic
see,see,vvi,1830,fic
see,see,vvi,1830,fic
see,see,vvi,1830,fic
see,see,vv0,1830,fic
see,see,vv0,1830,fic
talk,talk,nn1_vv0,1830,fic
talk,talk,nn1,1830,fic
picture,picture,nn1,1830,fic
deaf,deaf,jj,1830,fic
taste,taste,vvi,1830,fic
see,see,vvi,1830,fic
see,see,vv0,1830,fic
taste,taste,nn1,1830,fic
perfume,perfume,nn1,1830,fic
sweet,sweet,jj_nn1@,1830,fic
see,see,vv0,1830,fic
fragrance,fragrance,nn1,1830,fic
see,see,vvi,1830,fic
sight,sight,nn1,1830,fic
voice,voice,nn1,1830,fic
talk,talk,nn1,1830,fic
look,look,nn1,1830,fic
