Word,Lemma,POS,Year,Register
white,white,jj,1880,fic
green,green,jj,1880,fic
white,white,jj,1880,fic
blue,blue,jj,1880,fic
echo,echo,nn1,1880,fic
ring,ring,vvi,1880,fic
brown,brown,jj,1880,fic
watch,watch,nn1,1880,fic
voice,voice,nn1,1880,fic
watch,watch,nn1,1880,fic
glance,glance,nn1,1880,fic
silence,silence,nn1,1880,fic
see,see,vvi,1880,fic
perfume,perfume,nn1,1880,fic
taste,taste,nn1,1880,fic
white,white,jj,1880,fic
behold,behold,vv0,1880,fic
tender,tender,jj,1880,fic
color,color,nn1,1880,fic
shout,shout,nn1,1880,fic
voice,voice,nn1,1880,fic
white,white,jj_nn1@,1880,fic
shady,shady,jj,1880,fic
colored,color,jj@_vvd,1880,fic
echo,echo,nn1,1880,fic
patter,patter,nn1,1880,fic
perfume,perfume,nn1,1880,fic
music,music,nn1,1880,fic
see,see,vvi,1880,fic
dark,dark,jj_nn1,1880,fic
shadow,shadow,nn1,1880,fic
blue,blue,jj_nn1@,1880,fic
dark,dark,jj_nn1,1880,fic
howl,howl,vv0,1880,fic
shade,shade,nn1,1880,fic
music,music,nn1,1880,fic
delicious,delicious,jj,1880,fic
clear,clear,jj,1880,fic
look,look,vvi,1880,fic
voice,voice,nn1,1880,fic
sweetness,sweetness,nn1,1880,fic
loud,loud,jj_rr,1880,fic
loud,loud,jj_rr,1880,fic
hoarse,hoarse,jj,1880,fic
howl,howl,vv0_nn1_np1@,1880,fic
whistle,whistle,nn1,1880,fic
sound,sound,nn1,1880,fic
eye,eye,nn1,1880,fic
look,look,nn1,1880,fic
talk,talk,vvi,1880,fic
piercing,pierce,jj,1880,fic
roar,roar,nn1,1880,fic
see,see,vvi,1880,fic
eye,eye,nn1,1880,fic
clear,clear,jj_vv0@_rr@,1880,fic
silent,silent,jj,1880,fic
shadow,shadow,nn1,1880,fic
dazzling,dazzling,jj,1880,fic
reflection,reflection,nn1,1880,fic
sunlight,sunlight,nn1,1880,fic
voice,voice,nn1,1880,fic
audible,audible,jj,1880,fic
hear,hear,vvi,1880,fic
roar,roar,nn1,1880,fic
see,see,vvi,1880,fic
yellowish,yellowish,jj,1880,fic
shout,shout,vvi,1880,fic
hear,hear,vvi,1880,fic
whistle,whistle,nn1,1880,fic
hear,hear,vvi,1880,fic
loud,loud,rr_jj,1880,fic
look,look,vvi,1880,fic
look,look,vvi,1880,fic
warm,warm,jj,1880,fic
glance,glance,nn1_vv0,1880,fic
clear,clear,jj,1880,fic
hear,hear,vvi,1880,fic
eye,eye,nn1,1880,fic
watch,watch,nn1,1880,fic
clear,clear,jj,1880,fic
hymn,hymn,nn1,1880,fic
rustle,rustle,nn1,1880,fic
eye,eye,nn1,1880,fic
eye,eye,nn1,1880,fic
soft,soft,jj,1880,fic
audible,audible,jj,1880,fic
glance,glance,nn1,1880,fic
eye,eye,nn1,1880,fic
see,see,vvi,1880,fic
piercing,pierce,jj,1880,fic
song,song,nn1,1880,fic
look,look,nn1,1880,fic
see,see,vvi,1880,fic
hot,hot,jj_rr%,1880,fic
music,music,nn1,1880,fic
sight,sight,nn1,1880,fic
piercing,pierce,jj,1880,fic
black,black,jj,1880,fic
splash,splash,nn1,1880,fic
white,white,jj,1880,fic
muddy,muddy,jj,1880,fic
black,black,jj,1880,fic
see,see,vvi,1880,fic
look,look,vvi,1880,fic
hot,hot,jj,1880,fic
see,see,vvi,1880,fic
rigid,rigid,jj,1880,fic
look,look,vv0,1880,fic
see,see,vvi,1880,fic
see,see,vvi,1880,fic
see,see,vvi,1880,fic
music,music,nn1,1880,fic
dry,dry,jj,1880,fic
speak,speak,vvi,1880,fic
watch,watch,nn1,1880,fic
song,song,nn1,1880,fic
sing,sing,vvi,1880,fic
clammy,clammy,jj,1880,fic
whisper,whisper,vvi,1880,fic
song,song,nn1,1880,fic
eye,eye,nn1,1880,fic
howl,howl,vvi,1880,fic
talk,talk,vvi,1880,fic
color,color,nn1,1880,fic
color,color,nn1,1880,fic
gleam,gleam,nn1,1880,fic
radiant,radiant,jj,1880,fic
voice,voice,nn1,1880,fic
music,music,nn1,1880,fic
shadow,shadow,nn1,1880,fic
voice,voice,nn1,1880,fic
voice,voice,nn1,1880,fic
voice,voice,nn1,1880,fic
black,black,jj,1880,fic
white,white,jj,1880,fic
talk,talk,vvi,1880,fic
murmur,murmur,vvi,1880,fic
sound,sound,nn1,1880,fic
sweetness,sweetness,nn1,1880,fic
touch,touch,vvi,1880,fic
radiant,radiant,jj,1880,fic
look,look,nn1,1880,fic
noise,noise,nn1,1880,fic
touch,touch,nn1,1880,fic
piano,piano,nn1,1880,fic
song,song,nn1,1880,fic
silent,silent,jj,1880,fic
white,white,jj,1880,fic
soft,soft,jj,1880,fic
clear,clear,jj,1880,fic
snarl,snarl,nn1,1880,fic
audible,audible,jj,1880,fic
sound,sound,nn1,1880,fic
silence,silence,nn1,1880,fic
sticky,sticky,jj,1880,fic
disgusting,disgusting,jj,1880,fic
cold,cold,nn1_jj,1880,fic
clear,clear,vvi,1880,fic
piano,piano,nn1,1880,fic
sweet,sweet,jj,1880,fic
music,music,nn1,1880,fic
eye,eye,nn1,1880,fic
see,see,vvi,1880,fic
red,red,jj_nn1,1880,fic
look,look,vvi,1880,fic
piercing,pierce,jj,1880,fic
eye,eye,nn1,1880,fic
voice,voice,nn1,1880,fic
howl,howl,nn1,1880,fic
scream,scream,nn1,1880,fic
odor,odor,nn1,1880,fic
scream,scream,nn1,1880,fic
clap,clap,vv0_nn1,1880,fic
noise,noise,nn1,1880,fic
talk,talk,vvi,1880,fic
pink,pink,jj_nn1@,1880,fic
picture,picture,nn1,1880,fic
shout,shout,vvi,1880,fic
ringing,ring,nn1,1880,fic
silence,silence,nn1,1880,fic
silence,silence,nn1,1880,fic
sight,sight,nn1,1880,fic
thunder,thunder,nn1,1880,fic
thunder,thunder,nn1,1880,fic
sound,sound,nn1,1880,fic
thunder,thunder,nn1,1880,fic
noisy,noisy,jj,1880,fic
sound,sound,nn1,1880,fic
sound,sound,nn1,1880,fic
voice,voice,nn1,1880,fic
scream,scream,vvi,1880,fic
see,see,vvi,1880,fic
see,see,vvi,1880,fic
sight,sight,nn1,1880,fic
see,see,vvi,1880,fic
deafening,deafening,jj,1880,fic
listen,listen,vvi,1880,fic
see,see,vvi,1880,fic
song,song,nn1,1880,fic
see,see,vvi,1880,fic
see,see,vvi,1880,fic
see,see,vvi,1880,fic
see,see,vvi,1880,fic
harmonious,harmonious,jj,1880,fic
voice,voice,nn1,1880,fic
see,see,vvi,1880,fic
noise,noise,nn1,1880,fic
shout,shout,vv0,1880,fic
voice,voice,nn1,1880,fic
dim,dim,jj,1880,fic
warm,warm,jj,1880,fic
look,look,nn1,1880,fic
silence,silence,nn1,1880,fic
look,look,nn1,1880,fic
clump,clump,nn1,1880,fic
loud,loud,jj_rr,1880,fic
voice,voice,nn1,1880,fic
tender,tender,jj,1880,fic
song,song,nn1,1880,fic
roaring,roar,vvg,1880,fic
hymn,hymn,nn1,1880,fic
look,look,nn1,1880,fic
melodious,melodious,jj,1880,fic
wrinkled,wrinkle,vvd@,1880,fic
touch,touch,vvi,1880,fic
see,see,vvi,1880,fic
see,see,vvi,1880,fic
look,look,nn1,1880,fic
yellow,yellow,jj,1880,fic
vocal,vocal,jj,1880,fic
smell,smell,vvi,1880,fic
watch,watch,nn1,1880,fic
look,look,vvi,1880,fic
talk,talk,vvi,1880,fic
brown,brown,np1,1880,fic
sweet,sweet,jj,1880,fic
sweet,sweet,jj,1880,fic
cold,cold,jj_nn1,1880,fic
sweet,sweet,jj,1880,fic
song,song,nn1,1880,fic
speak,speak,vvi,1880,fic
white,white,jj,1880,fic
thunder,thunder,nn1_vv0@,1880,fic
sweet,sweet,jj,1880,fic
cold,cold,jj,1880,fic
