Word,Lemma,POS,Year,Register
warm,warm,vvi,1950,fic
wet,wet,jj,1950,fic
cold,cold,jj,1950,fic
wet,wet,jj,1950,fic
dark,dark,nn1_jj,1950,fic
blue,blue,jj,1950,fic
listen,listen,vv0,1950,fic
hear,hear,vvi,1950,fic
image,image,nn1,1950,fic
touch,touch,vv0,1950,fic
touch,touch,vv0,1950,fic
behold,behold,vv0,1950,fic
sound,sound,nn1,1950,fic
dazzling,dazzle,vvg@_jj,1950,fic
sweet,sweet,jj,1950,fic
sing,sing,vv0,1950,fic
music,music,nn1,1950,fic
white,white,jj,1950,fic
clear,clear,jj,1950,fic
voice,voice,nn1,1950,fic
voice,voice,nn1,1950,fic
dark,dark,nn1_jj,1950,fic
dark,dark,nn1_jj,1950,fic
glitter,glitter,nn1,1950,fic
hear,hear,vvi,1950,fic
voice,voice,nn1,1950,fic
hear,hear,vvi,1950,fic
voice,voice,nn1,1950,fic
look,look,vv0,1950,fic
listen,listen,vv0,1950,fic
pale,pale,jj,1950,fic
green,green,jj_nn1,1950,fic
picture,picture,nn1,1950,fic
blue,blue,jj_nn1@,1950,fic
picture,picture,nn1,1950,fic
voice,voice,nn1,1950,fic
song,song,nn1,1950,fic
voice,voice,nn1,1950,fic
red,red,jj,1950,fic
touch,touch,nn1,1950,fic
speak,speak,vvi,1950,fic
song,song,nn1,1950,fic
look,look,vvi,1950,fic
see,see,vv0,1950,fic
radiant,radiant,jj,1950,fic
fluid,fluid,nn1,1950,fic
green,green,jj_nn1,1950,fic
orange,orange,jj_nn1,1950,fic
colored,color,jj@,1950,fic
yellow,yellow,jj_nn1@,1950,fic
black,black,jj,1950,fic
red,red,jj,1950,fic
whisper,whisper,vvi,1950,fic
sunlight,sunlight,nn1,1950,fic
see,see,vv0,1950,fic
gaze,gaze,nn1,1950,fic
tender,tender,jj,1950,fic
colored,color,jj@,1950,fic
black,black,jj,1950,fic
song,song,nn1,1950,fic
picture,picture,nn1,1950,fic
picture,picture,nn1,1950,fic
purple,purple,jj,1950,fic
shining,shine,vvg,1950,fic
ticking,ticking,nn1_vvg,1950,fic
shining,shining,jj_vvg,1950,fic
pink,pink,jj_nn1@,1950,fic
white,white,jj,1950,fic
purple,purple,jj,1950,fic
wrinkled,wrinkled,jj,1950,fic
see,see,vv0,1950,fic
bell,bell,np1,1950,fic
image,image,nn1,1950,fic
black,black,jj,1950,fic
black,black,jj,1950,fic
see,see,vvi,1950,fic
see,see,vvi,1950,fic
golden,golden,jj,1950,fic
noise,noise,nn1,1950,fic
hot,hot,jj,1950,fic
crack,crack,vv0,1950,fic
gray,gray,jj_nn1@,1950,fic
amber,amber,jj_nn1,1950,fic
colored,color,vvd_jj@,1950,fic
color,color,nn1,1950,fic
golden,golden,jj,1950,fic
green,green,jj_nn1,1950,fic
noise,noise,nn1,1950,fic
heat,heat,nn1,1950,fic
brown,brown,jj,1950,fic
white,white,jj_nn1@,1950,fic
green,green,jj_nn1,1950,fic
shining,shining,jj_vvg,1950,fic
green,green,jj_nn1,1950,fic
amber,amber,jj_nn1,1950,fic
see,see,vvi,1950,fic
white,white,jj,1950,fic
dense,dense,jj,1950,fic
burning,burn,jj_vvg,1950,fic
blue,blue,jj_nn1@,1950,fic
moonlight,moonlight,nn1,1950,fic
sunlight,sunlight,nn1,1950,fic
see,see,vvi,1950,fic
smooth,smooth,jj,1950,fic
silence,silence,nn1,1950,fic
hear,hear,vvi,1950,fic
touch,touch,vvi,1950,fic
see,see,vv0,1950,fic
chime,chime,vvi,1950,fic
hot,hot,jj,1950,fic
blue,blue,jj,1950,fic
white,white,jj_nn1@,1950,fic
white,white,jj,1950,fic
white,white,jj,1950,fic
smooth,smooth,jj,1950,fic
moonlight,moonlight,nn1,1950,fic
moonlight,moonlight,nn1,1950,fic
sound,sound,nn1,1950,fic
voice,voice,nn1,1950,fic
rattle,rattle,nn1,1950,fic
speak,speak,vvi,1950,fic
crack,crack,nn1,1950,fic
clear,clear,jj,1950,fic
voice,voice,nn1,1950,fic
ring,ring,vvi,1950,fic
bell,bell,nn1,1950,fic
shadow,shadow,nn1_vv0@,1950,fic
shadow,shadow,nn1_vv0@,1950,fic
cold,cold,jj,1950,fic
bright,bright,jj,1950,fic
white,white,jj,1950,fic
hear,hear,vv0,1950,fic
talk,talk,vvi,1950,fic
music,music,nn1,1950,fic
hear,hear,vv0,1950,fic
image,image,nn1,1950,fic
touch,touch,vv0,1950,fic
touch,touch,vv0,1950,fic
touch,touch,vv0,1950,fic
behold,behold,vv0,1950,fic
sing,sing,vvi,1950,fic
silent,silent,jj,1950,fic
yellow,yellow,jj_nn1@,1950,fic
image,image,nn1,1950,fic
touch,touch,vvi,1950,fic
hear,hear,vv0,1950,fic
groan,groan,vvi,1950,fic
red,red,jj,1950,fic
black,black,jj,1950,fic
burning,burn,vvg,1950,fic
sunlight,sunlight,nn1,1950,fic
hot,hot,jj,1950,fic
sweet,sweet,jj,1950,fic
silent,silent,jj,1950,fic
bright,bright,jj,1950,fic
jingle,jingle,vv0@_nn1,1950,fic
bright,bright,jj,1950,fic
dark,dark,nn1_jj,1950,fic
voice,voice,nn1,1950,fic
clear,clear,jj,1950,fic
voice,voice,nn1,1950,fic
warmth,warmth,nn1,1950,fic
cold,cold,jj_nn1,1950,fic
cold,cold,jj_nn1,1950,fic
blue,blue,jj,1950,fic
noise,noise,nn1,1950,fic
blue,blue,jj,1950,fic
eye,eye,nn1,1950,fic
wrinkled,wrinkle,vvn@_jj,1950,fic
sour,sour,jj,1950,fic
eye,eye,nn1,1950,fic
voice,voice,nn1,1950,fic
look,look,vv0,1950,fic
golden,golden,jj,1950,fic
chime,chime,vvi,1950,fic
voice,voice,nn1,1950,fic
golden,golden,jj,1950,fic
golden,golden,jj,1950,fic
golden,golden,jj,1950,fic
golden,golden,jj,1950,fic
dry,dry,jj,1950,fic
see,see,vvi,1950,fic
hear,hear,vv0,1950,fic
hear,hear,vv0,1950,fic
hear,hear,vv0,1950,fic
melody,melody,nn1,1950,fic
tune,tune,nn1,1950,fic
white,white,jj,1950,fic
golden,golden,jj,1950,fic
see,see,vv0,1950,fic
blue,blue,jj,1950,fic
smooth,smooth,jj,1950,fic
look,look,vv0,1950,fic
brilliant,brilliant,jj,1950,fic
see,see,vv0,1950,fic
