Word,Lemma,POS,Year,Register
deep,deep,rr_jj_nn1@,1820,fic
sound,sound,vvi,1820,fic
march,march,nn1_vv0_npm1,1820,fic
deep,deep,jj_nn1@,1820,fic
down,down,rp,1820,fic
view,view,vvi,1820,fic
plain,plain,jj_rr@,1820,fic
cut,cut,vvi,1820,fic
happy,happy,jj,1820,fic
round,round,rp_vv0@,1820,fic
work,work,nn1_vv0,1820,fic
grace,grace,nn1@,1820,fic
estate,estate,nn1,1820,fic
wait,wait,vv0_nn1@,1820,fic
rise,rise,vv0_nn1,1820,fic
hat,hat,nn1,1820,fic
view,view,vv0@_nn1,1820,fic
turn,turn,vv0_nn1,1820,fic
tender,tender,jj,1820,fic
death,death,nn1,1820,fic
rise,rise,vv0_nn1,1820,fic
plain,plain,nn1_jj,1820,fic
sound,sound,nn1,1820,fic
heaven,heaven,nn1,1820,fic
call,call,nn1,1820,fic
want,want,vv0,1820,fic
spirit,spirit,nn1_vv0%,1820,fic
feel,feel,vv0,1820,fic
down,down,rp_ii@,1820,fic
sea,sea,nn1,1820,fic
race,race,nn1,1820,fic
turn,turn,vv0,1820,fic
wheel,wheel,nn1,1820,fic
heaven,heaven,nn1,1820,fic
down,down,rp,1820,fic
say,say,vv0,1820,fic
secure,secure,vv0,1820,fic
safety,safety,nn1,1820,fic
rush,rush,vv0,1820,fic
hissing,hiss,vvg,1820,fic
cure,cure,vv0,1820,fic
liberty,liberty,nn1,1820,fic
call,call,nn1_vv0,1820,fic
dirty,dirty,jj,1820,fic
white,white,jj,1820,fic
call,call,nn1_vv0,1820,fic
swift,swift,jj,1820,fic
fell,fall,vvd,1820,fic
heaven,heaven,nn1,1820,fic
ease,ease,nn1,1820,fic
turn,turn,vv0,1820,fic
long,long,vvi,1820,fic
help,help,vv0_nn1,1820,fic
lift,lift,vv0,1820,fic
gun,gun,nn1,1820,fic
cut,cut,vv0_vvd@,1820,fic
down,down,rp,1820,fic
breath,breath,nn1,1820,fic
thick,thick,jj,1820,fic
leave,leave,vv0,1820,fic
do,do,vdi,1820,fic
work,work,vvi,1820,fic
round,round,rp,1820,fic
hold,hold,vv0,1820,fic
silent,silent,jj,1820,fic
wait,wait,vv0,1820,fic
hold,hold,vv0,1820,fic
deck,deck,nn1,1820,fic
high,high,rr@_jj,1820,fic
down,down,rp_ii@,1820,fic
fell,fall,vvd,1820,fic
throw,throw,vvi,1820,fic
down,down,ii@_rp,1820,fic
back,back,nn1,1820,fic
hide,hide,nn1@,1820,fic
down,down,rp,1820,fic
nose,nose,nn1,1820,fic
tarry,tarry,nn1,1820,fic
down,down,rp,1820,fic
adhesive,adhesive,nn1_jj,1820,fic
round,round,ii_rp,1820,fic
plan,plan,vv0_nn1,1820,fic
race,race,nn1,1820,fic
prove,prove,vv0,1820,fic
claim,claim,nn1,1820,fic
round,round,rp_ii,1820,fic
music,music,nn1,1820,fic
jingling,jingle,vvg_jj@,1820,fic
sound,sound,nn1,1820,fic
hail,hail,nn1,1820,fic
liberty,liberty,nn1,1820,fic
win,win,vvi,1820,fic
meeting,meeting,nn1,1820,fic
band,band,nn1,1820,fic
rise,rise,vvi,1820,fic
light,light,nn1,1820,fic
strong,strong,jj,1820,fic
long,long,rr_jj,1820,fic
past,past,rl_jj,1820,fic
do,do,vd0,1820,fic
friend,friend,nn1,1820,fic
keep,keep,vv0,1820,fic
wait,wait,vv0,1820,fic
laughing,laugh,jj@,1820,fic
matter,matter,nn1,1820,fic
stay,stay,vv0,1820,fic
call,call,vv0,1820,fic
ascend,ascend,vv0,1820,fic
life,life,nn1,1820,fic
bore,bore,vvd_vv0_nn1,1820,fic
happy,happy,jj,1820,fic
race,race,nn1,1820,fic
stage,stage,nn1,1820,fic
eye,eye,nn1,1820,fic
bright,bright,jj,1820,fic
sight,sight,nn1,1820,fic
dim,dim,jj,1820,fic
three,three,mc,1820,fic
light,light,nn1_jj,1820,fic
increase,increase,vv0,1820,fic
pride,pride,nn1,1820,fic
prize,prize,nn1,1820,fic
extend,extend,vv0,1820,fic
plain,plain,nn1_jj,1820,fic
prize,prize,nn1,1820,fic
icy,icy,jj,1820,fic
rush,rush,np1_vv0@,1820,fic
wide,wide,jj_rr@,1820,fic
soft,soft,jj,1820,fic
band,band,nn1,1820,fic
defeat,defeat,nn1,1820,fic
chain,chain,nn1,1820,fic
success,success,nn1,1820,fic
swift,swift,jj_nn1@,1820,fic
prize,prize,nn1,1820,fic
look,look,nn1_vv0,1820,fic
sight,sight,nn1,1820,fic
magic,magic,nn1_jj,1820,fic
night,night,nnt1,1820,fic
eye,eye,nn1,1820,fic
rise,rise,vv0_nn1,1820,fic
prove,prove,vvi,1820,fic
fair,fair,jj_rr@,1820,fic
air,air,nn1,1820,fic
plain,plain,nn1_jj,1820,fic
sea,sea,nn1,1820,fic
die,die,vvi,1820,fic
turn,turn,nn1,1820,fic
band,band,nn1,1820,fic
sound,sound,nn1,1820,fic
sight,sight,nn1,1820,fic
paint,paint,vv0,1820,fic
left,leave,vvd_vvn,1820,fic
crimson,crimson,jj_nn1,1820,fic
turn,turn,nn1,1820,fic
round,round,rp_nn1@,1820,fic
high,high,jj,1820,fic
air,air,nn1,1820,fic
brown,brown,nn1@_jj,1820,fic
rusty,rusty,jj,1820,fic
gun,gun,nn1,1820,fic
success,success,nn1,1820,fic
march,march,npm1_np1@_vv0%,1820,fic
music,music,nn1,1820,fic
influence,influence,nn1,1820,fic
pride,pride,nn1,1820,fic
secure,secure,vv0_jj,1820,fic
dance,dance,vv0,1820,fic
hold,hold,vv0_nn1,1820,fic
sweet,sweet,nn1@_jj,1820,fic
theme,theme,nn1,1820,fic
situation,situation,nn1,1820,fic
strong,strong,jj,1820,fic
clear,clear,jj_vv0@_rr@,1820,fic
close,close,rr@_jj,1820,fic
freezing,freezing,jj,1820,fic
public,public,jj_nn1,1820,fic
spirit,spirit,nn1,1820,fic
fair,fair,jj_rr@,1820,fic
fortune,fortune,nn1,1820,fic
release,release,nn1,1820,fic
hold,hold,vv0,1820,fic
condition,condition,nn1,1820,fic
cold,cold,jj,1820,fic
trust,trust,vv0,1820,fic
lead,lead,nn1,1820,fic
fortune,fortune,nn1,1820,fic
small,small,jj,1820,fic
change,change,nn1,1820,fic
fortune,fortune,nn1,1820,fic
dip,dip,vv0,1820,fic
look,look,vv0,1820,fic
cold,cold,jj_nn1,1820,fic
noxious,noxious,jj,1820,fic
food,food,nn1,1820,fic
life,life,nn1,1820,fic
dead,dead,jj,1820,fic
strain,strain,nn1,1820,fic
turn,turn,nn1,1820,fic
bitter,bitter,jj,1820,fic
sight,sight,nn1,1820,fic
death,death,nn1,1820,fic
