Word,Lemma,POS,Year,Register
public,public,nn1_jj,1810,fic
comedy,comedy,nn1,1810,fic
work,work,nn1,1810,fic
claim,claim,nn1,1810,fic
writing,writing,nn1,1810,fic
pride,pride,nn1,1810,fic
miss,miss,nnb,1810,fic
main,main,jj,1810,fic
text,text,nn1,1810,fic
say,say,vv0,1810,fic
sit,sit,vvi,1810,fic
lady,lady,nn1,1810,fic
say,say,vv0,1810,fic
lady,lady,nn1,1810,fic
student,student,nn1,1810,fic
lady,lady,nn1,1810,fic
death,death,nn1,1810,fic
measure,measure,nn1_vv0,1810,fic
lady,lady,nn1,1810,fic
beauty,beauty,nn1,1810,fic
advantage,advantage,nn1,1810,fic
lady,lady,nn1,1810,fic
cast,cast,vvd@_vv0,1810,fic
spite,spite,nn1,1810,fic
balance,balance,nn1,1810,fic
fortune,fortune,nn1,1810,fic
music,music,nn1,1810,fic
wheel,wheel,nn1,1810,fic
fortune,fortune,nn1,1810,fic
prince,prince,nn1,1810,fic
down,down,rp_nn1%,1810,fic
wheel,wheel,nn1,1810,fic
round,round,rp,1810,fic
lady,lady,nn1,1810,fic
lady,lady,nn1,1810,fic
delight,delight,nn1,1810,fic
dry,dry,jj,1810,fic
dry,dry,jj,1810,fic
lady,lady,nn1,1810,fic
heaven,heaven,nn1,1810,fic
lady,lady,nn1,1810,fic
look,look,vvi,1810,fic
delight,delight,vvi,1810,fic
high,high,rr@_jj,1810,fic
beauty,beauty,nn1,1810,fic
cellar,cellar,nn1,1810,fic
night,night,nnt1,1810,fic
cellar,cellar,nn1,1810,fic
cellar,cellar,nn1,1810,fic
night,night,nnt1,1810,fic
grace,grace,nn1,1810,fic
say,say,vvi,1810,fic
wait,wait,vvi,1810,fic
open,open,vv0_jj_rr@,1810,fic
call,call,vvi,1810,fic
empty,empty,jj,1810,fic
cellar,cellar,nn1,1810,fic
wait,wait,vvi,1810,fic
swift,swift,jj,1810,fic
paper,paper,nn1,1810,fic
meeting,meet,vvg,1810,fic
do,do,vd0,1810,fic
beseech,beseech,vvi,1810,fic
eye,eye,nn1,1810,fic
paper,paper,nn1,1810,fic
do,do,vd0,1810,fic
bear,bear,vv0_nn1,1810,fic
death,death,nn1,1810,fic
lady,lady,nn1,1810,fic
yellow,yellow,jj_nn1@,1810,fic
lady,lady,nn1,1810,fic
paper,paper,nn1,1810,fic
die,die,vvi,1810,fic
breath,breath,nn1,1810,fic
fair,fair,jj,1810,fic
fair,fair,jj,1810,fic
hurt,hurt,vvd,1810,fic
lady,lady,nn1,1810,fic
foot,foot,nn1,1810,fic
call,call,vvi,1810,fic
long,long,jj,1810,fic
past,past,rl_nn1_jj,1810,fic
recall,recall,vv0,1810,fic
fair,fair,jj,1810,fic
duty,duty,nn1,1810,fic
work,work,vvi,1810,fic
death,death,nn1,1810,fic
lady,lady,nn1,1810,fic
prince,prince,nn1,1810,fic
hold,hold,vv0,1810,fic
prince,prince,nn1,1810,fic
say,say,vv0,1810,fic
proof,proof,nn1,1810,fic
foot,foot,nn1,1810,fic
leave,leave,nn1,1810,fic
do,do,vd0,1810,fic
hard,hard,rr_jj,1810,fic
ticklish,ticklish,jj,1810,fic
do,do,vd0,1810,fic
master,master,nn1,1810,fic
friend,friend,nn1,1810,fic
call,call,vv0,1810,fic
friend,friend,nn1,1810,fic
trust,trust,vv0,1810,fic
frosty,frosty,jj,1810,fic
long,long,rr_jj,1810,fic
clear,clear,jj,1810,fic
look,look,vv0_nn1,1810,fic
clear,clear,jj,1810,fic
happy,happy,jj,1810,fic
happy,happy,jj,1810,fic
give,give,vvi,1810,fic
wait,wait,vv0,1810,fic
gold,gold,nn1_jj@,1810,fic
past,past,ii,1810,fic
lift,lift,vv0,1810,fic
trust,trust,nn1,1810,fic
happy,happy,jj,1810,fic
picture,picture,nn1,1810,fic
picture,picture,nn1,1810,fic
do,do,vd0,1810,fic
feet,foot,nn2,1810,fic
fear,fear,vv0,1810,fic
die,die,vvi,1810,fic
look,look,vvi,1810,fic
back,back,rp,1810,fic
turn,turn,vv0,1810,fic
death,death,nn1,1810,fic
happy,happy,jj,1810,fic
change,change,nn1,1810,fic
dead,dead,jj,1810,fic
long,long,rr,1810,fic
heaven,heaven,nn1,1810,fic
death,death,nn1,1810,fic
fair,fair,jj_rr@,1810,fic
straight,straight,rr_jj,1810,fic
crooked,crooked,jj,1810,fic
bore,bore,vvd,1810,fic
bitter,bitter,jj,1810,fic
down,down,rp,1810,fic
long,long,rr,1810,fic
emotion,emotion,nn1,1810,fic
dead,dead,jj,1810,fic
dead,dead,jj,1810,fic
dead,dead,jj,1810,fic
dead,dead,np1@_jj,1810,fic
dead,dead,jj,1810,fic
dead,dead,jj,1810,fic
fell,fall,vvd,1810,fic
cold,cold,jj_rr%,1810,fic
hot,hot,jj,1810,fic
hot,hot,jj,1810,fic
burning,burn,vvg_jj,1810,fic
dry,dry,jj,1810,fic
dead,dead,jj,1810,fic
alive,alive,jj,1810,fic
dead,dead,jj,1810,fic
body,body,nn1,1810,fic
beauty,beauty,nn1,1810,fic
dead,dead,jj,1810,fic
extreme,extreme,nn1@_jj,1810,fic
want,want,nn1%_vv0,1810,fic
disease,disease,nn1,1810,fic
death,death,nn1,1810,fic
trust,trust,vv0,1810,fic
past,past,rl_nn1_jj_ii,1810,fic
hate,hate,nn1,1810,fic
do,do,vd0,1810,fic
work,work,nn1_vv0,1810,fic
life,life,nn1,1810,fic
vice,vice,nn1_jj,1810,fic
give,give,vvi,1810,fic
spirit,spirit,nn1,1810,fic
back,back,nn1_rp,1810,fic
stage,stage,nn1,1810,fic
emotion,emotion,nn1,1810,fic
die,die,vvi,1810,fic
die,die,vv0_nn1%,1810,fic
god,god,np1,1810,fic
long,long,jj,1810,fic
broken,broken,jj,1810,fic
long,long,rr_jj,1810,fic
hard,hard,jj,1810,fic
secure,secure,vvi,1810,fic
laughter,laughter,nn1,1810,fic
laughter,laughter,nn1,1810,fic
high,high,jj_rr@,1810,fic
cast,cast,vv0_vvd@,1810,fic
look,look,nn1_vv0,1810,fic
left,leave,vvd,1810,fic
look,look,vv0,1810,fic
light,light,jj,1810,fic
down,down,nn1%,1810,fic
drag,drag,vvi,1810,fic
fresh,fresh,jj,1810,fic
air,air,nn1,1810,fic
breath,breath,nn1,1810,fic
damp,damp,jj,1810,fic
jingling,jingle,nn1@,1810,fic
high,high,jj_rr@,1810,fic
bear,bear,vv0,1810,fic
glass,glass,nn1,1810,fic
back,back,nn1,1810,fic
do,do,vd0,1810,fic
knowledge,knowledge,nn1,1810,fic
cost,cost,vv0_nn1,1810,fic
knowledge,knowledge,nn1,1810,fic
content,content,jj,1810,fic
friend,friend,nn1,1810,fic
turn,turn,vv0,1810,fic
turn,turn,vvi,1810,fic
hold,hold,vvi,1810,fic
